年齢,0歳,0歳,1歳,1歳,2歳,2歳,3歳,3歳,4歳,4歳,5歳,5歳,6歳,6歳,7歳,7歳,8歳,8歳,9歳,9歳,10歳,10歳,11歳,11歳,12歳,12歳,13歳,13歳,14歳,14歳,15歳,15歳,16歳,16歳,17歳,17歳,18歳,18歳,19歳,19歳,20歳,20歳,21歳,21歳,22歳,22歳,23歳,23歳,24歳,24歳,25歳,25歳,26歳,26歳,27歳,27歳,28歳,28歳,29歳,29歳,30歳,30歳,31歳,31歳,32歳,32歳,33歳,33歳,34歳,34歳,35歳,35歳,36歳,36歳,37歳,37歳,38歳,38歳,39歳,39歳,40歳,40歳,41歳,41歳,42歳,42歳,43歳,43歳,44歳,44歳,45歳,45歳,46歳,46歳,47歳,47歳,48歳,48歳,49歳,49歳,50歳,50歳,51歳,51歳,52歳,52歳,53歳,53歳,54歳,54歳,55歳,55歳,56歳,56歳,57歳,57歳,58歳,58歳,59歳,59歳,60歳,60歳,61歳,61歳,62歳,62歳,63歳,63歳,64歳,64歳,65歳,65歳,66歳,66歳,67歳,67歳,68歳,68歳,69歳,69歳,70歳,70歳,71歳,71歳,72歳,72歳,73歳,73歳,74歳,74歳,75歳,75歳,76歳,76歳,77歳,77歳,78歳,78歳,79歳,79歳,80歳,80歳,81歳,81歳,82歳,82歳,83歳,83歳,84歳,84歳,85歳,85歳,86歳,86歳,87歳,87歳,88歳,88歳,89歳,89歳,90歳,90歳,91歳,91歳,92歳,92歳,93歳,93歳,94歳,94歳,95歳,95歳,96歳,96歳,97歳,97歳,98歳,98歳,99歳,99歳,100歳,100歳,101歳,101歳,102歳,102歳,103歳,103歳,104歳以上,104歳以上
性別,男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人]
両国一丁目,6,5,3,6,5,4,3,5,5,2,2,3,2,3,4,2,4,5,4,3,2,2,0,5,3,7,4,3,4,5,4,5,1,4,3,6,12,5,12,10,12,10,9,21,5,14,14,20,15,16,25,24,21,20,21,23,21,24,15,13,24,16,25,19,20,22,16,10,15,17,7,6,15,11,13,9,12,10,15,10,11,9,13,8,11,10,10,16,10,7,8,7,12,14,13,9,11,14,12,8,17,17,9,7,6,12,10,4,9,8,10,11,8,11,9,4,10,3,4,4,5,4,2,10,7,5,9,4,2,4,4,19,4,9,7,3,12,9,12,6,6,9,9,11,4,6,6,5,3,6,7,9,5,4,6,6,2,5,3,6,5,8,3,3,4,6,2,8,2,7,1,2,2,1,3,3,0,0,0,0,1,1,1,2,2,1,1,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国二丁目,8,17,8,9,5,10,11,6,5,10,9,10,6,3,6,4,4,5,3,7,3,3,3,6,4,6,4,4,2,6,6,4,5,4,5,8,5,7,7,10,4,11,6,8,14,7,13,17,23,16,30,19,16,25,35,27,19,24,26,30,25,23,24,20,28,13,26,24,39,22,23,21,27,22,20,28,27,23,19,10,20,9,13,31,21,19,24,14,18,18,29,15,14,21,14,18,11,14,22,9,14,8,11,4,16,9,6,10,7,13,11,10,9,13,14,8,10,7,15,11,11,12,11,10,5,10,13,13,12,13,5,6,9,8,9,9,7,12,11,14,15,16,15,14,8,8,4,9,13,11,4,7,8,13,11,10,14,3,4,7,4,2,1,5,3,7,4,5,4,3,3,7,3,4,3,4,0,4,2,5,1,7,1,2,0,3,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
両国三丁目,13,5,8,8,7,5,4,2,5,3,3,1,11,6,6,0,1,3,3,2,7,6,2,2,4,4,5,4,5,5,2,3,1,8,6,4,3,6,3,4,6,6,17,6,6,13,7,14,14,10,21,30,16,24,31,31,28,32,37,30,22,27,24,22,17,28,22,21,21,25,32,22,17,17,16,21,21,19,16,24,23,26,24,22,15,14,22,17,15,11,19,19,24,19,19,9,14,10,11,14,8,13,9,10,12,20,9,12,10,16,9,8,9,13,13,8,7,8,6,10,7,5,8,9,4,5,7,7,7,6,9,4,5,6,5,9,5,9,9,14,9,10,8,12,3,4,6,4,5,3,5,5,5,5,1,7,5,5,3,5,3,6,2,6,2,7,3,5,3,3,6,1,1,6,4,5,0,1,3,7,0,2,1,2,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国四丁目,8,6,6,12,6,5,10,5,9,3,6,4,5,4,5,4,4,5,8,3,4,5,1,8,4,2,9,3,5,3,3,8,5,7,5,6,9,9,6,12,10,9,14,9,12,11,9,21,17,22,24,17,22,27,20,21,25,26,30,26,18,26,16,31,21,12,22,20,22,21,17,19,20,15,25,18,16,21,19,16,19,15,12,15,18,11,20,16,12,17,17,17,29,19,19,11,14,14,12,18,13,5,15,12,12,23,13,10,11,11,9,10,6,7,14,8,4,11,9,6,6,7,10,7,8,7,7,5,16,11,10,9,8,7,8,11,7,6,14,11,15,15,4,9,1,6,2,7,7,12,9,8,10,6,6,11,3,1,4,7,4,13,3,11,6,12,2,9,6,6,5,10,9,3,1,5,2,3,2,3,3,3,0,3,1,3,1,4,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0
千歳一丁目,9,6,3,8,6,4,10,5,10,2,7,1,4,9,7,2,6,4,2,2,6,9,2,10,5,6,5,3,3,3,4,6,4,8,10,6,5,3,4,5,9,9,5,3,7,9,20,10,12,13,18,17,14,15,20,21,12,12,16,21,28,17,9,10,11,21,19,13,20,19,17,12,17,14,19,12,14,15,21,18,20,13,11,18,12,13,20,18,9,10,15,15,10,12,11,16,21,15,16,12,22,10,10,10,7,14,9,13,5,8,13,14,11,10,10,9,8,6,15,10,8,8,9,13,7,6,6,5,5,7,8,5,5,5,4,10,12,10,6,14,10,7,7,8,5,6,4,9,5,7,2,3,10,5,6,5,4,8,4,6,4,4,2,5,2,5,1,3,1,5,2,4,1,2,1,6,1,0,1,2,0,2,0,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
千歳二丁目,1,8,5,4,2,2,7,3,2,7,4,2,2,5,2,3,4,2,2,3,4,5,5,1,5,2,2,3,1,5,1,2,5,2,1,3,8,1,11,3,7,2,7,5,4,5,8,5,8,6,8,9,12,11,20,16,7,9,7,7,16,10,11,11,9,7,6,7,6,7,10,7,9,10,14,14,15,15,14,12,10,10,12,6,5,9,14,8,8,8,9,10,9,6,14,7,6,10,6,7,9,6,7,7,9,6,5,3,7,9,7,5,5,4,3,7,7,1,8,3,3,3,5,5,4,2,3,2,2,1,2,2,3,5,3,1,2,1,1,2,9,3,5,4,1,2,1,6,1,4,2,5,4,2,2,4,3,4,1,3,3,5,2,2,2,3,2,2,2,2,0,4,2,1,2,3,1,0,1,3,0,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
千歳三丁目,13,12,14,14,17,14,12,7,8,9,10,7,9,5,3,7,8,10,7,9,6,3,3,5,7,5,3,5,3,2,2,5,7,7,9,3,5,6,9,5,9,5,9,9,10,10,13,11,17,24,22,21,26,25,30,21,30,26,30,30,26,19,39,39,28,28,26,34,34,32,33,26,33,33,32,26,26,30,21,26,29,26,22,19,25,21,27,28,22,24,23,18,23,14,18,15,17,21,13,22,15,14,16,20,12,8,18,12,10,14,8,13,13,7,14,11,10,14,13,11,9,7,9,7,9,6,4,6,7,11,11,13,11,14,9,12,13,6,9,11,9,11,10,11,8,8,4,4,8,5,8,7,5,6,4,11,1,7,5,5,5,9,4,8,3,5,6,3,4,8,5,4,2,2,5,4,0,8,0,2,1,5,1,3,3,3,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
緑一丁目,25,15,12,11,22,8,10,10,8,10,7,12,11,11,9,7,7,11,15,8,7,9,15,10,11,9,6,10,7,8,9,3,7,8,12,11,13,4,15,6,15,13,16,8,21,12,18,22,21,29,29,28,46,34,33,31,39,39,37,35,35,30,37,32,47,39,38,40,41,25,33,32,23,24,33,25,37,31,39,35,26,20,29,23,24,20,36,35,35,35,34,20,25,20,25,26,22,18,23,21,21,17,18,23,25,11,23,22,18,11,6,12,19,15,14,12,12,7,17,11,10,18,6,9,11,13,13,13,7,10,9,8,7,11,10,11,11,9,15,11,20,12,14,12,7,8,5,8,10,7,10,9,4,11,3,9,4,7,6,4,5,11,5,4,6,7,6,2,3,10,5,10,1,3,2,8,2,7,4,7,0,7,1,5,2,2,1,1,0,1,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
緑二丁目,21,21,29,14,26,22,16,16,15,11,18,13,17,13,14,12,14,16,21,10,11,16,20,14,11,12,14,8,11,13,15,11,9,18,9,10,16,11,9,12,13,16,10,20,15,24,23,29,22,25,27,33,21,31,34,35,32,40,25,34,31,36,47,37,42,39,28,45,37,40,33,26,25,27,29,32,36,31,26,38,23,26,28,27,26,32,27,30,35,32,36,39,30,29,22,25,37,25,28,35,26,21,22,24,23,28,22,13,13,23,16,17,12,19,20,14,18,17,14,15,11,11,14,12,13,17,11,9,12,12,8,12,13,9,17,11,8,18,12,10,12,8,7,14,8,8,3,8,13,12,9,19,9,12,8,11,6,12,5,3,10,6,11,4,3,7,5,7,2,7,2,6,2,3,3,8,4,5,1,7,1,6,2,4,1,1,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
