年齢,0歳,0歳,1歳,1歳,2歳,2歳,3歳,3歳,4歳,4歳,5歳,5歳,6歳,6歳,7歳,7歳,8歳,8歳,9歳,9歳,10歳,10歳,11歳,11歳,12歳,12歳,13歳,13歳,14歳,14歳,15歳,15歳,16歳,16歳,17歳,17歳,18歳,18歳,19歳,19歳,20歳,20歳,21歳,21歳,22歳,22歳,23歳,23歳,24歳,24歳,25歳,25歳,26歳,26歳,27歳,27歳,28歳,28歳,29歳,29歳,30歳,30歳,31歳,31歳,32歳,32歳,33歳,33歳,34歳,34歳,35歳,35歳,36歳,36歳,37歳,37歳,38歳,38歳,39歳,39歳,40歳,40歳,41歳,41歳,42歳,42歳,43歳,43歳,44歳,44歳,45歳,45歳,46歳,46歳,47歳,47歳,48歳,48歳,49歳,49歳,50歳,50歳,51歳,51歳,52歳,52歳,53歳,53歳,54歳,54歳,55歳,55歳,56歳,56歳,57歳,57歳,58歳,58歳,59歳,59歳,60歳,60歳,61歳,61歳,62歳,62歳,63歳,63歳,64歳,64歳,65歳,65歳,66歳,66歳,67歳,67歳,68歳,68歳,69歳,69歳,70歳,70歳,71歳,71歳,72歳,72歳,73歳,73歳,74歳,74歳,75歳,75歳,76歳,76歳,77歳,77歳,78歳,78歳,79歳,79歳,80歳,80歳,81歳,81歳,82歳,82歳,83歳,83歳,84歳,84歳,85歳,85歳,86歳,86歳,87歳,87歳,88歳,88歳,89歳,89歳,90歳,90歳,91歳,91歳,92歳,92歳,93歳,93歳,94歳,94歳,95歳,95歳,96歳,96歳,97歳,97歳,98歳,98歳,99歳,99歳,100歳,100歳,101歳,101歳,102歳,102歳,103歳,103歳,104歳以上,104歳以上
性別,男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人]
両国一丁目,4,3,6,6,2,5,5,3,2,3,5,5,4,2,5,5,1,2,2,5,2,7,5,4,4,5,4,4,1,5,2,2,1,5,4,6,3,2,10,7,8,6,9,5,13,16,15,7,19,19,21,15,12,14,15,23,14,13,27,17,17,17,14,13,8,16,11,11,16,9,16,10,5,6,16,13,7,9,16,8,5,10,10,14,13,8,13,8,15,11,8,10,12,13,9,10,15,17,13,9,6,13,9,7,7,8,9,10,7,11,9,6,13,4,5,6,8,5,5,10,8,7,5,2,6,3,3,14,7,12,5,4,11,9,12,8,10,9,7,9,5,7,6,6,6,7,7,9,6,5,5,9,4,6,3,7,3,6,7,6,6,8,3,8,3,7,1,3,1,2,6,3,0,0,0,2,1,2,1,2,1,2,2,1,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国二丁目,11,9,13,6,7,11,8,5,7,3,5,5,4,6,6,5,2,6,5,3,4,7,4,2,3,6,2,6,3,2,4,8,6,4,3,6,7,9,4,5,7,6,9,7,14,12,14,7,18,11,22,23,25,31,27,24,17,23,27,23,23,19,25,22,35,22,27,30,24,22,19,23,21,22,28,14,16,10,20,18,23,24,22,17,24,9,25,17,10,15,12,17,11,11,16,15,20,4,11,6,13,7,10,5,6,13,11,11,9,10,9,10,11,7,13,9,14,10,8,15,8,7,12,12,11,12,6,10,6,8,12,9,6,12,15,17,13,14,14,15,8,7,8,9,11,10,7,11,10,7,8,14,16,4,4,6,6,4,1,3,2,5,5,7,4,4,3,6,2,6,4,8,1,4,2,6,0,5,3,4,0,6,0,2,0,2,2,2,0,0,0,3,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
両国三丁目,8,6,5,5,4,6,2,6,5,4,5,4,3,4,4,3,6,6,2,2,5,4,4,2,3,5,2,6,3,4,7,7,3,5,3,3,6,5,10,5,6,2,5,6,9,5,14,17,13,15,21,23,20,29,32,33,37,34,20,29,26,24,16,21,18,33,30,20,27,24,18,14,21,22,16,16,22,29,22,23,13,19,13,15,14,16,20,17,19,24,22,11,15,8,7,21,11,10,9,11,11,16,13,12,9,16,10,10,12,12,10,9,9,9,9,9,10,6,10,14,6,4,5,9,9,4,9,7,6,8,6,8,6,8,9,11,10,10,6,14,4,4,4,3,7,4,6,6,7,5,2,7,5,4,4,4,1,7,6,6,1,7,3,4,5,4,4,2,3,3,2,9,2,2,3,7,1,2,1,2,0,2,0,2,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国四丁目,9,11,12,6,8,4,7,5,4,5,4,2,3,6,10,2,5,6,2,7,4,3,7,4,8,3,6,5,6,7,4,8,6,4,4,4,6,6,9,5,3,7,9,7,7,13,17,17,14,18,15,14,35,25,26,23,26,18,21,33,26,25,18,17,25,16,23,22,19,12,22,18,19,23,13,19,18,14,18,12,17,10,16,18,19,18,17,17,23,14,15,14,12,15,14,16,7,5,18,12,8,22,16,13,13,15,12,8,5,7,17,10,6,10,10,7,4,10,8,7,10,6,6,6,16,9,11,7,9,9,8,9,8,7,11,9,14,16,8,9,1,6,3,8,6,10,7,7,14,9,2,8,6,4,4,6,4,13,3,11,5,9,3,12,7,5,7,9,7,6,2,5,2,6,2,1,3,6,1,1,1,7,0,6,1,1,0,1,0,1,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
千歳一丁目,6,4,7,4,8,0,8,1,4,5,4,4,5,4,2,3,6,6,5,6,6,11,7,4,2,1,3,7,6,7,8,6,7,4,3,2,4,8,6,3,4,4,6,4,8,7,9,13,13,9,13,15,6,10,13,13,16,12,14,14,13,18,19,15,20,17,12,14,13,6,19,16,21,12,16,15,18,12,14,15,8,17,16,15,10,11,15,15,15,15,10,15,15,14,27,13,20,13,14,10,9,12,6,16,6,9,11,10,8,12,12,5,8,11,13,11,12,9,9,10,7,9,7,3,4,6,6,3,9,10,3,7,10,12,6,15,10,5,6,12,9,6,4,5,6,10,2,4,8,3,6,6,4,7,5,10,3,4,2,8,3,4,3,4,1,4,1,6,2,3,1,4,3,2,0,1,2,4,0,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
千歳二丁目,3,3,7,4,5,4,3,1,2,4,2,3,3,2,3,5,3,4,5,2,5,3,3,2,1,6,1,1,5,3,2,1,4,2,3,1,7,4,13,4,5,3,7,4,10,5,11,3,11,6,14,13,10,7,10,9,7,10,6,10,7,10,8,9,8,3,16,10,9,6,9,14,20,10,6,13,15,16,13,10,10,8,9,3,11,10,9,10,10,9,12,7,4,7,7,14,10,6,7,7,7,8,8,2,7,7,9,8,6,3,3,8,8,3,8,3,1,1,11,6,4,4,3,1,1,0,4,3,4,4,2,2,3,3,2,3,5,2,9,6,2,2,2,8,1,3,1,5,6,3,4,5,3,2,1,4,3,4,5,3,2,4,2,2,3,1,0,4,2,1,1,4,2,0,2,2,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千歳三丁目,11,10,16,5,6,11,6,8,8,5,5,4,6,6,7,10,5,2,2,4,5,3,3,5,4,1,3,7,4,5,3,4,7,5,6,1,9,4,2,6,7,5,6,5,12,13,13,17,18,20,21,18,23,22,20,23,23,25,31,24,20,28,19,31,27,19,27,23,13,19,33,22,22,29,17,21,21,20,24,22,18,22,22,16,21,22,18,18,21,9,20,11,16,23,10,19,18,19,11,16,14,10,9,11,15,13,9,9,11,11,12,10,11,14,13,9,9,12,13,4,8,8,5,6,9,9,11,15,8,8,14,17,12,6,10,7,9,15,9,12,9,7,5,5,4,6,11,6,5,8,4,9,2,8,4,5,6,7,4,9,4,5,4,5,8,6,6,7,3,2,5,3,2,7,0,4,0,4,2,6,3,4,0,2,1,3,0,3,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
緑一丁目,17,6,15,14,12,11,8,8,15,14,7,8,10,10,12,9,9,9,14,8,10,12,8,9,6,7,9,5,8,6,11,8,6,8,9,3,11,7,28,8,17,8,14,10,11,17,21,14,29,25,35,26,32,31,41,31,28,35,32,25,49,36,40,36,30,24,32,26,30,30,29,30,40,27,34,39,31,28,30,26,24,19,37,30,33,37,28,25,24,23,24,27,24,20,25,21,23,20,20,24,20,8,26,19,17,16,12,11,13,13,16,13,12,11,15,10,12,18,8,11,13,15,14,17,7,9,15,9,7,9,10,10,17,11,17,11,22,12,14,14,9,8,7,8,11,5,9,11,11,8,4,11,5,7,4,7,6,11,4,4,8,6,4,7,2,7,5,11,4,6,1,8,3,7,4,9,0,5,1,8,2,1,2,2,1,1,0,0,0,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
緑二丁目,32,25,23,24,16,12,21,14,18,18,16,11,17,14,16,11,14,15,18,18,15,11,8,12,17,10,14,18,10,14,10,12,13,10,10,8,7,19,15,17,13,13,12,17,25,19,24,20,26,26,27,26,29,36,27,21,33,35,42,45,47,43,34,42,43,42,37,38,33,28,22,25,31,31,43,36,21,36,33,31,22,32,40,33,29,38,27,36,31,30,32,25,33,30,27,32,28,30,21,24,25,21,27,23,19,26,11,17,16,22,16,15,17,13,13,19,13,15,17,11,12,17,12,13,11,8,15,12,14,11,17,13,11,14,14,12,7,10,13,16,7,6,4,10,11,8,10,17,8,13,8,15,8,13,6,6,8,5,12,4,5,8,5,10,4,8,3,7,2,1,5,9,4,6,1,7,2,7,2,4,1,2,1,2,0,4,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
