（輸入）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"3,052,964",99.0%,"26,886,901",99.5%,100.0%
1,中国,"1,253,259",90.5%,"11,173,683",98.5%,41.6%
,(香港),"133,038",95.4%,"1,212,700",84.4%,4.5%
2,アメリカ,"317,634",96.0%,"3,030,501",93.3%,11.3%
3,タイ,"186,098",94.5%,"1,719,478",96.3%,6.4%
4,ベトナム,"200,615",114.3%,"1,627,239",111.4%,6.1%
5,台湾,"136,766",120.0%,"1,206,463",112.0%,4.5%
6,カナダ,"99,917",96.7%,"1,057,991",92.6%,3.9%
7,韓国,"106,537",88.9%,"1,036,623",98.6%,3.9%
8,シンガポール,"130,793",131.0%,"896,471",110.3%,3.3%
9,フィリピン,"83,720",79.2%,"833,870",95.5%,3.1%
10,マレーシア,"85,296",118.0%,"764,330",110.2%,2.8%
11,インドネシア,"77,099",102.2%,"671,085",103.1%,2.5%
12,ドイツ,"52,649",121.8%,"416,489",99.3%,1.5%
13,オランダ,"40,825",107.5%,"359,671",93.6%,1.3%
14,フランス,"31,779",112.4%,"248,052",103.1%,0.9%
15,ニュージーランド,"25,913",109.0%,"242,981",99.0%,0.9%
16,チリ,"23,676",124.2%,"223,282",78.3%,0.8%
17,イタリア,"19,659",85.6%,"136,284",106.8%,0.5%
18,イギリス,"15,401",113.3%,"125,741",102.2%,0.5%
19,オーストラリア,"35,687","3,891.7%","108,189",164.6%,0.4%
20,メキシコ,"10,029",69.7%,"103,953",70.3%,0.4%
,その他,"119,612",120.0%,"904,525",106.8%,3.4%
