 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,862","15,124,712","17,626","135,429,310",690,"12,951,277","6,322","115,705,208"
外航計,438,"11,397,149","3,926","101,022,266",413,"10,937,830","3,710","96,820,729"
外航定期計,417,"10,975,036","3,719","96,902,136",413,"10,937,830","3,710","96,820,729"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),37,"2,540,185",349,"23,936,693",37,"2,540,185",349,"23,936,693"
北米東岸(カリビア海含む),12,"666,164",92,"6,337,913",12,"666,164",91,"6,330,911"
北欧・地中海,11,"1,081,711",67,"6,586,793",11,"1,081,711",67,"6,586,793"
南米西岸,4,"526,558",37,"4,843,319",4,"526,558",37,"4,843,319"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,4,"180,758",42,"1,827,345",4,"180,758",42,"1,827,345"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-
東南アジア,152,"3,832,968","1,339","33,509,686",148,"3,795,762","1,331","33,435,281"
台湾,-,-,-,-,-,-,-,-
韓国,41,"356,466",395,"3,445,783",41,"356,466",395,"3,445,783"
中国(香港含む),156,"1,790,226","1,398","16,414,604",156,"1,790,226","1,398","16,414,604"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,21,"422,113",207,"4,120,130",-,-,-,-
内航計,"1,424","3,727,563","13,700","34,407,044",277,"2,013,447","2,612","18,884,479"
内航定期計,572,"2,742,512","5,152","25,080,717",275,"2,011,949","2,573","18,789,700"
北海道,105,"1,100,340",909,"9,747,052",105,"1,100,340",909,"9,747,052"
東北,59,"63,752",523,"426,945",59,"63,752",504,"412,714"
関東,94,"24,584",825,"257,964",-,-,2,998
伊豆諸島,173,"326,899","1,478","2,734,615",-,-,1,155
中部,22,"36,485",291,"378,045",22,"36,485",291,"378,045"
近畿,13,"9,737",111,"233,522",13,"9,737",111,"233,522"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,84,"947,627",802,"9,054,272",54,"568,547",542,"5,768,912"
沖縄,22,"233,088",213,"2,248,302",22,"233,088",213,"2,248,302"
内航不定期,852,"985,051","8,548","9,326,327",2,"1,498",39,"94,779"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
