 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"7,247,832","65,927,609","1,097,249","9,354,036","1,084,229","8,972,467","3,052,964","26,886,901","2,916,132","25,913,747","1,227,506","11,306,055","1,870,113","18,380,617"
農水産品,,"479,616","4,256,655","15,097","195,162","15,097","195,059","406,054","3,743,180","339,068","3,117,063","28,679","157,950","29,786","160,363"
1,麦,"26,436","222,037",-,4,-,4,"15,322","153,066","1,528","19,285","1,274","11,439","9,840","57,528"
2,米,"9,690","58,085",528,"2,930",528,"2,930",72,"16,450",72,"16,450","7,430","28,195","1,660","10,510"
3,とうもろこし,625,"8,196",-,-,-,-,610,"7,842",610,"7,842",15,354,-,-
4,豆類,"11,420","133,058",16,309,16,309,"9,564","116,484","9,564","116,484","1,550","13,115",290,"3,150"
5,その他雑穀,389,"6,304",-,-,-,-,337,"4,762",337,"4,762",27,"1,272",25,270
6,野菜・果物,"152,431","1,464,698","2,533","17,423","2,533","17,320","131,154","1,344,749","77,962","852,413","12,033","65,866","6,711","36,660"
7,綿花,30,465,30,201,30,201,-,234,-,234,-,-,-,30
8,その他農産品,"24,521","196,121",659,"7,227",659,"7,227","22,277","182,567","22,277","182,567","1,170","4,902",415,"1,425"
9,羊毛,30,424,-,-,-,-,30,403,30,403,-,21,-,-
10,その他畜産品,"163,500","1,325,171","2,555","25,935","2,555","25,935","152,018","1,261,498","152,018","1,261,498","1,382","12,363","7,545","25,375"
11,水産品,"90,544","842,096","8,776","141,133","8,776","141,133","74,670","655,125","74,670","655,125","3,798","20,423","3,300","25,415"
林産品,,"97,965","873,834","1,062","14,721","1,062","14,015","84,223","778,175","81,478","719,881","6,176","56,596","6,504","24,342"
12,原木,"1,574","5,670",-,"2,211",-,"2,211",614,"2,397",614,"2,397",-,22,960,"1,040"
13,製材,"81,882","746,458","1,050","12,081","1,050","11,375","73,705","674,055","70,960","615,761","5,021","46,514","2,106","13,808"
14,樹脂類,"6,972","64,885",2,275,2,275,"6,075","55,495","6,075","55,495",565,"5,700",330,"3,415"
15,木材チップ,"3,330","8,382",7,114,7,114,359,"4,500",359,"4,500",-,30,"2,964","3,738"
16,その他林産品,849,"7,470",-,4,-,4,135,"1,075",135,"1,075",580,"4,155",134,"2,236"
17,薪炭,"3,358","40,969",3,36,3,36,"3,335","40,653","3,335","40,653",10,175,10,105
鉱産品,,"411,148","4,246,445","1,864","17,344","1,864","17,344","74,866","411,612","24,862","235,860","6,536","74,244","327,882","3,743,245"
18,石炭,"24,824","139,922",-,262,-,262,"24,824","139,640","3,224","36,931",-,-,-,20
19,鉄鉱石,85,400,-,-,-,-,85,400,85,400,-,-,-,-
20,金属鉱,591,"4,941",1,4,1,4,375,"3,627",375,"3,627",215,"1,310",-,-
21,砂利・砂,"251,940","2,897,281",-,412,-,412,"1,354","16,052","1,354","16,052","1,916","25,611","248,670","2,855,206"
22,石材,"61,517","720,563",480,"4,272",480,"4,272","7,979","74,026","7,979","74,018",245,"1,948","52,813","640,317"
23,原油,295,"1,926",-,-,-,-,295,"1,926",295,"1,926",-,-,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,石灰石,"17,126","168,727",-,-,-,-,-,"1,056",-,"1,056",50,615,"17,076","167,056"
26,原塩,"3,826","13,430",5,40,5,40,"1,321","9,670","1,321","9,670",-,20,"2,500","3,700"
27,非金属鉱物,"50,944","299,255","1,378","12,354","1,378","12,354","38,633","165,215","10,229","92,180","4,110","44,740","6,823","76,946"
金属機械工業品,,"2,438,667","22,201,063","483,353","3,925,652","482,703","3,899,874","669,001","6,394,615","663,432","6,330,876","694,574","6,301,089","591,739","5,579,707"
28,鉄鋼,"5,206","67,649","1,857","30,334","1,857","18,143","2,944","27,860","2,944","23,131",45,"2,015",360,"7,440"
