 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,30,260,30,260,
,総トン数,,"379,080","3,285,360","379,080","3,285,360",
取扱貨物,計,計,"861,195","8,031,040","861,195","8,031,040",
,,出荷,"455,080","4,174,580","455,080","4,174,580",
,,入荷,"406,115","3,856,460","406,115","3,856,460",
取　扱　台　数,バ　ス,計,12,90,12,90,
,,出荷,6,37,6,37,
,,入荷,6,53,6,53,
,トラック,計,"7,865","72,809","7,865","72,809",
,,出荷,"4,149","38,233","4,149","38,233",
,,入荷,"3,716","34,576","3,716","34,576",
,乗用車,計,"5,336","47,082","5,336","47,082",
,,出荷,"3,354","28,244","3,354","28,244",
,,入荷,"1,982","18,838","1,982","18,838",
乗降人員,計,,"3,281","31,571","3,281","31,571",
,乗船,,"1,526","16,759","1,526","16,759",
,降船,,"1,755","14,812","1,755","14,812",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
