 4-(4)コンテナ取扱個数係留施設別表,,,,,,,,,,,,,,(単位：ＴＥＵ）
係留施設,合計,,外貿,,,,,,内貿,,,,,
,,,計,,輸出,,輸入,,計,,移出,,移入,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"310,345","122,271","287,631","103,568","86,231","102,820","201,400",748,"22,714","18,703","10,964","17,428","11,750","1,275"
,99.9%,102.2%,99.7%,108.5%,104.9%,108.7%,97.7%,90.8%,101.9%,77.3%,102.2%,76.8%,101.6%,84.5%
,"2,673,634","1,052,407","2,467,386","894,963","689,533","888,665","1,777,853","6,298","206,248","157,444","97,207","140,809","109,041","16,635"
,97.6%,102.8%,97.6%,108.2%,95.5%,108.6%,98.4%,69.1%,98.2%,80.3%,85.5%,78.3%,113.1%,101.5%
品川岸壁,"21,770","16,446","21,628","13,567","4,165","13,506","17,463",61,142,"2,879",-,"2,855",142,24
,76.9%,105.0%,76.4%,106.5%,67.7%,107.3%,78.9%,39.4%,-,98.5%,-,97.7%,-,-
,"213,079","141,875","212,613","119,056","45,029","118,217","167,584",839,466,"22,819",-,"22,491",466,328
,92.8%,115.0%,92.6%,117.4%,80.9%,118.2%,96.4%,60.1%,-,104.2%,-,103.9%,-,131.2%
10号西岸壁,"3,866",607,-,-,-,-,-,-,"3,866",607,"2,447",-,"1,419",607
,94.6%,96.2%,-,-,-,-,-,-,94.6%,96.2%,91.5%,-,100.4%,96.2%
,"34,626","6,414",-,-,-,-,-,-,"34,626","6,414","21,279",39,"13,347","6,375"
,98.6%,145.3%,-,-,-,-,-,-,98.6%,145.3%,95.9%,-,103.1%,144.4%
青海コンテナふ頭（公共）,"56,972","26,987","55,132","21,377","13,702","21,189","41,430",188,"1,840","5,610","1,008","5,526",832,84
,100.8%,79.1%,100.1%,81.0%,133.7%,81.3%,92.4%,59.5%,128.0%,72.5%,165.2%,73.3%,100.5%,42.2%
,"482,549","235,426","465,265","189,038","95,132","187,410","370,133","1,628","17,284","46,388","9,753","45,774","7,531",614
,96.7%,87.4%,96.0%,85.7%,94.2%,86.0%,96.4%,61.7%,123.1%,94.6%,118.1%,97.5%,130.2%,29.8%
青海コンテナふ頭(埠頭㈱),"41,035","22,662","40,563","19,976","10,724","19,957","29,839",19,472,"2,686",472,"2,686",-,-
,111.2%,108.2%,111.7%,102.4%,125.4%,102.8%,107.4%,20.9%,84.7%,185.5%,117.7%,185.5%,-,-
,"352,620","187,609","347,253","176,761","84,116","176,403","263,137",358,"5,367","10,848","4,131","10,848","1,236",-
,95.3%,97.8%,94.9%,103.8%,97.7%,104.2%,94.0%,37.3%,130.0%,50.2%,107.1%,50.6%,454.4%,-
お台場ライナーふ頭,29,60,29,60,-,-,29,60,-,-,-,-,-,-
,38.2%,-,38.2%,-,-,-,38.2%,-,-,-,-,-,-,-
,945,380,945,380,2,-,943,380,-,-,-,-,-,-
,71.2%,926.8%,71.2%,926.8%,-,-,71.0%,926.8%,-,-,-,-,-,-
大井コンテナふ頭,"167,464","46,372","158,091","40,468","54,943","40,050","103,148",418,"9,373","5,904","3,039","5,823","6,334",81
,102.6%,116.8%,102.0%,137.5%,102.9%,137.0%,101.5%,217.7%,113.4%,57.5%,112.1%,57.5%,114.1%,56.3%
,"1,412,355","402,103","1,329,727","345,504","439,264","342,436","890,463","3,068","82,628","56,599","23,702","55,953","58,926",646
,98.7%,109.4%,99.2%,123.2%,97.1%,123.9%,100.3%,79.6%,91.0%,64.9%,57.8%,66.6%,118.3%,19.9%
その他,"19,209","9,137","12,188","8,120","2,697","8,118","9,491",2,"7,021","1,017","3,998",538,"3,023",479
,89.1%,106.6%,89.5%,110.2%,69.2%,111.3%,97.7%,2.9%,88.4%,84.3%,92.2%,80.1%,83.8%,89.5%
,"177,460","78,600","111,583","64,224","25,990","64,199","85,593",25,"65,877","14,376","38,342","5,704","27,535","8,672"
,103.0%,117.6%,105.0%,117.1%,97.1%,117.6%,107.6%,11.3%,99.8%,119.9%,100.0%,99.9%,99.7%,138.2%
,,,,,,,,,,,,,,
(注) 上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,,
