 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"310,344","122,271","2,673,630","1,052,405","97,194","120,248","786,738","1,029,474","213,150","2,023","1,886,892","22,931"
,99.9%,102.2%,97.6%,102.8%,104.6%,102.5%,94.1%,103.1%,97.9%,86.7%,99.2%,89.9%
外航計,"287,631","103,568","2,467,385","894,963","86,231","102,820","689,533","888,665","201,400",748,"1,777,852","6,298"
,99.7%,108.5%,97.6%,108.2%,104.9%,108.7%,95.5%,108.6%,97.7%,90.8%,98.4%,69.1%
外航定期計,"287,631","103,568","2,467,385","894,963","86,231","102,820","689,533","888,665","201,400",748,"1,777,852","6,298"
,99.7%,108.5%,97.6%,108.2%,104.9%,108.7%,95.5%,108.6%,97.7%,90.8%,98.4%,69.1%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"32,702","14,824","315,047","125,977","9,035","14,424","96,284","123,949","23,667",400,"218,763","2,028"
,73.2%,107.8%,88.2%,98.6%,46.6%,105.9%,73.9%,98.6%,93.6%,287.8%,96.5%,98.2%
北米東岸(カリビア海含む),"9,292","2,340","85,866","21,327","4,657","2,325","40,114","21,176","4,635",15,"45,752",151
,99.5%,166.8%,87.9%,114.9%,118.6%,165.7%,97.4%,115.7%,85.6%,-,80.9%,59.4%
北欧・地中海,"34,823","2,431","215,068","21,832","20,731","2,390","118,350","21,488","14,092",41,"96,718",344
,192.0%,188.6%,129.9%,126.4%,260.9%,190.0%,160.3%,127.0%,138.3%,132.3%,105.4%,97.2%
南米西岸,"2,609",996,"26,113","18,132",214,994,"3,482","17,812","2,395",2,"22,631",320
,116.9%,58.7%,84.6%,204.5%,85.3%,59.0%,306.8%,232.6%,120.9%,16.7%,76.1%,26.5%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
