規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19.6,165.2,150.1,15.1,12.6,77.8,75.1,2.7
５人以上,"鉱業,採石業,砂利採取業",19.6,166.1,144.1,22,-,-,-,-
５人以上,建設業,20.5,174,156.8,17.2,12.3,74.7,73.8,0.9
５人以上,製造業,19.7,163.9,151.2,12.7,16,104.1,99.5,4.6
５人以上,電気・ガス・熱供給・水道業,19.5,169.7,149.1,20.6,17.7,134.4,132.6,1.8
５人以上,情報通信業,19.6,167.7,149.7,18,13.9,98.2,88.6,9.6
５人以上,"運輸業,郵便業",19.6,168.2,149.3,18.9,15.9,112,105.5,6.5
５人以上,"卸売業,小売業",19.6,163.5,151.3,12.2,13.4,81.9,79.7,2.2
５人以上,"金融業,保険業",19.6,163.8,143.8,20,15.8,103.1,99.5,3.6
５人以上,"不動産業,物品賃貸業",19.8,167.8,151,16.8,14.8,83.6,81.6,2
５人以上,"学術研究,専門・技術サービス業",19.6,169.4,151.7,17.7,13.1,80.8,77.4,3.4
５人以上,"宿泊業,飲食サービス業",19.4,170.2,153.1,17.1,10.9,64.9,62.4,2.5
５人以上,"生活関連サービス業,娯楽業",20.2,170.7,156.6,14.1,12,74.3,72.4,1.9
５人以上,"教育,学習支援業",20,156,143.5,12.5,9.3,50,49.4,0.6
５人以上,"医療,福祉",19.7,159.4,150,9.4,12.1,70.8,69.2,1.6
５人以上,複合サービス事業,19.3,162.5,148.6,13.9,17.7,111.2,107.4,3.8
５人以上,サービス業（他に分類されないもの）,19.3,161.8,147.1,14.7,14.8,99.5,95.2,4.3
30人以上,調査産業計,19.5,164.6,148.4,16.2,13.4,85.6,82.1,3.5
30人以上,"鉱業,採石業,砂利採取業",19.6,166.1,144.1,22,-,-,-,-
30人以上,建設業,20.1,174.1,153.3,20.8,14.2,90.9,89.8,1.1
30人以上,製造業,19.3,163.8,149.6,14.2,16.6,119.7,111.8,7.9
30人以上,電気・ガス・熱供給・水道業,19.6,170,149.2,20.8,17,129.5,127.2,2.3
30人以上,情報通信業,19.5,167.5,148.8,18.7,14.2,101.8,91.2,10.6
30人以上,"運輸業,郵便業",19.4,167.2,148,19.2,17,122.8,114.2,8.6
30人以上,"卸売業,小売業",19.3,162.5,149.5,13,14.7,91.2,88.6,2.6
30人以上,"金融業,保険業",19.5,164.8,143.1,21.7,15.8,103.6,98.9,4.7
30人以上,"不動産業,物品賃貸業",19.6,164.3,147.6,16.7,16.4,82.8,81,1.8
30人以上,"学術研究,専門・技術サービス業",19.6,169.4,151.4,18,15.3,96.3,93.3,3
30人以上,"宿泊業,飲食サービス業",19.1,166.7,150.1,16.6,11.2,67.9,65.3,2.6
30人以上,"生活関連サービス業,娯楽業",19.9,168.6,150.1,18.5,10.5,64.1,61.4,2.7
30人以上,"教育,学習支援業",20.4,158.1,144.7,13.4,9.3,54.1,53.2,0.9
30人以上,"医療,福祉",19.6,158.8,148.2,10.6,12,75,73,2
30人以上,複合サービス事業,19.4,165.7,146,19.7,19.2,114.1,107.9,6.2
30人以上,サービス業（他に分類されないもの）,19.1,160.6,145.8,14.8,14.9,100.7,96.1,4.6
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年４月分,,,,,,,,,
第６表  規模、産業、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
