規模,産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
５人以上,調査産業計,381880,460697,286938,357363,428873,271224,331259,26104,24517,31824,15714
５人以上,"鉱業,採石業,砂利採取業",684116,729189,547378,681854,726869,545291,640906,40948,2262,2320,2087
５人以上,建設業,480921,522661,331438,454606,493091,316779,422483,32123,26315,29570,14659
５人以上,製造業,422463,473331,313570,402471,450355,299966,376677,25794,19992,22976,13604
５人以上,電気・ガス・熱供給・水道業,550433,565425,494000,534995,548811,482988,456723,78272,15438,16614,11012
５人以上,情報通信業,483387,528983,388081,435783,475799,352140,396184,39599,47604,53184,35941
５人以上,"運輸業,郵便業",430416,461605,340622,402778,433176,315263,354064,48714,27638,28429,25359
５人以上,"卸売業,小売業",378760,474420,270011,349785,435378,252480,330374,19411,28975,39042,17531
５人以上,"金融業,保険業",495078,637555,367220,475288,612693,351982,436085,39203,19790,24862,15238
５人以上,"不動産業,物品賃貸業",428367,487410,323677,393860,445525,302251,362417,31443,34507,41885,21426
５人以上,"学術研究,専門・技術サービス業",515808,593902,397047,468319,535839,365638,438444,29875,47489,58063,31409
５人以上,"宿泊業,飲食サービス業",186430,240837,139634,180002,231289,135889,168353,11649,6428,9548,3745
５人以上,"生活関連サービス業,娯楽業",307819,387193,244304,292889,366910,233657,277017,15872,14930,20283,10647
５人以上,"教育,学習支援業",320110,384206,261102,302653,362129,247899,291481,11172,17457,22077,13203
５人以上,"医療,福祉",319546,397153,291345,304597,377155,278231,284238,20359,14949,19998,13114
５人以上,複合サービス事業,386508,458336,275903,353616,415299,258633,323481,30135,32892,43037,17270
５人以上,サービス業（他に分類されないもの）,303296,351736,250564,296032,342554,245389,271820,24212,7264,9182,5175
30人以上,調査産業計,423176,497985,324162,395223,463489,304870,364221,31002,27953,34496,19292
30人以上,"鉱業,採石業,砂利採取業",684116,729189,547378,681854,726869,545291,640906,40948,2262,2320,2087
30人以上,建設業,509928,555934,354084,487680,531327,339826,449095,38585,22248,24607,14258
30人以上,製造業,459344,510340,345097,440132,488733,331249,408709,31423,19212,21607,13848
30人以上,電気・ガス・熱供給・水道業,558171,572160,500525,540798,553521,488369,461667,79131,17373,18639,12156
30人以上,情報通信業,495643,542504,396368,442888,483724,356378,401694,41194,52755,58780,39990
30人以上,"運輸業,郵便業",449117,480664,357463,417347,448219,327652,364223,53124,31770,32445,29811
30人以上,"卸売業,小売業",437601,529322,318765,400303,482836,293371,376545,23758,37298,46486,25394
30人以上,"金融業,保険業",513276,647556,382639,499592,632422,370365,456677,42915,13684,15134,12274
30人以上,"不動産業,物品賃貸業",442335,499750,341508,423852,480658,324096,389592,34260,18483,19092,17412
30人以上,"学術研究,専門・技術サービス業",551826,627667,426443,501803,566614,394655,469657,32146,50023,61053,31788
30人以上,"宿泊業,飲食サービス業",266918,333655,200216,253333,315493,191205,237968,15365,13585,18162,9011
30人以上,"生活関連サービス業,娯楽業",346932,447751,267980,324025,416291,251770,300390,23635,22907,31460,16210
30人以上,"教育,学習支援業",367616,433795,302115,346274,406724,286443,332315,13959,21342,27071,15672
30人以上,"医療,福祉",365155,430697,336359,345344,407405,318077,317804,27540,19811,23292,18282
30人以上,複合サービス事業,422452,478235,294802,381668,428606,274258,336961,44707,40784,49629,20544
30人以上,サービス業（他に分類されないもの）,298782,347964,248604,293527,341434,244650,268838,24689,5255,6530,3954
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年４月分,,,,,,,,,,,,
第１表  規模、産業、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,,
