事業者,良くなった(%),やや良くなった(%),やや悪くなった(%),悪くなった(%)
全体(n=132),15,28,29,28
バス業(n=54),6,7,31,56
タクシー業(n=42),24,40,31,5
清掃業(n=20),10,55,10,25
運送業(n=16),31,31,38,0
