事業者,続けるべき(%),場所に応じて続けるべき(%),続けるべきではない(%)
全体(n=134),14,49,37
バス業(n=57),0,34,66
タクシー業(n=40),33,60,7
清掃業(n=21),5,62,33
運送業(n=16),25,63,12
