事業者,広い(%),やや広い(%),やや狭い(%),狭い(%)
全体(n=131),5,18,50,27
バス業(n=58),9,8,36,47
タクシー業(n=40),2,28,58,12
清掃業(n=20),5,25,60,10
運送業(n=13),0,15,77,8
