国籍区分,地域階層,地域コード,地域,1月中／転出者数,2月中／転出者数,3月中／転出者数,4月中／転出者数,5月中／転出者数,6月中／転出者数,7月中／転出者数,8月中／転出者数,9月中／転出者数,10月中／転出者数,11月中／転出者数,12月中／転出者数,令和4年中の転出者数
総数,0,13000,総数,31623,35600,59547,42029,36882,37207,36096,37882,35582,37429,35453,35656,460986
総数,1,13100,区部,24406,26978,43744,31782,28652,29175,28083,29162,27396,28724,27531,27398,353031
総数,1,13200,市部,7086,8532,15089,9982,8126,7901,7872,8562,8058,8592,7807,8143,105750
総数,2,13300,郡部,96,65,168,114,85,94,106,76,101,95,97,86,1183
総数,2,13350,島部,35,25,546,151,19,37,35,82,27,18,18,29,1022
総数,1,13100,区部,24406,26978,43744,31782,28652,29175,28083,29162,27396,28724,27531,27398,353031
総数,4,13101,千代田区,299,362,596,627,438,447,458,449,412,429,416,370,5303
総数,4,13102,中央区,589,597,1122,909,774,814,751,772,765,675,736,741,9245
総数,4,13103,港区,892,965,1637,1330,1260,1273,1218,1312,1051,1155,1117,1085,14295
総数,4,13104,新宿区,1518,1760,2913,2168,1994,2058,1941,1998,1927,1993,1804,1804,23878
総数,4,13105,文京区,683,851,1460,1039,887,902,828,858,822,836,807,899,10872
総数,4,13106,台東区,714,759,1172,946,950,979,922,926,883,970,951,944,11116
総数,4,13107,墨田区,796,878,1463,1128,925,1010,994,1007,971,1079,866,941,12058
総数,4,13108,江東区,1213,1337,2189,1592,1308,1394,1364,1405,1400,1299,1375,1273,17149
総数,4,13109,品川区,1178,1229,2003,1451,1316,1226,1235,1238,1192,1216,1240,1227,15751
総数,4,13110,目黒区,939,1083,1728,1127,1143,1059,1063,1128,1001,1116,1143,1107,13637
総数,4,13111,大田区,1231,1358,2177,1338,1308,1331,1234,1339,1240,1269,1270,1247,16342
総数,4,13112,世田谷区,2137,2340,3634,2659,2403,2347,2367,2401,2129,2395,2226,2332,29370
