国籍区分,地域階層,地域コード,地域,1月中／その他の増減,2月中／その他の増減,3月中／その他の増減,4月中／その他の増減,5月中／その他の増減,6月中／その他の増減,7月中／その他の増減,8月中／その他の増減,9月中／その他の増減,10月中／その他の増減,11月中／その他の増減,12月中／その他の増減,令和4年中の増減
総数,0,13000,総数,-1264,-1079,3807,15929,12570,8478,6070,600,6538,7105,1455,-1573,58636
総数,1,13100,区部,-1071,-894,3479,14222,11005,7248,5699,865,5737,6230,1395,-1308,52607
総数,1,13200,市部,-178,-177,317,1701,1550,1207,364,-257,807,881,49,-264,6000
総数,2,13300,郡部,-11,-6,6,7,14,23,1,-13,-6,-9,8,-7,7
総数,2,13350,島部,-4,-2,5,-1,1,0,6,5,0,3,3,6,22
総数,1,13100,区部,-1071,-894,3479,14222,11005,7248,5699,865,5737,6230,1395,-1308,52607
総数,4,13101,千代田区,-6,-7,79,211,174,114,78,74,123,49,30,-31,888
総数,4,13102,中央区,-20,-10,134,202,184,164,91,39,67,130,51,-51,981
総数,4,13103,港区,-7,-61,352,781,551,422,124,270,333,292,160,-218,2999
総数,4,13104,新宿区,-139,-73,438,2863,1919,928,936,106,1006,1029,139,-84,9068
総数,4,13105,文京区,-3,-24,69,597,451,273,148,97,315,371,55,-69,2280
総数,4,13106,台東区,-56,-22,93,570,481,292,233,69,138,322,62,14,2196
総数,4,13107,墨田区,-21,-30,81,352,309,203,253,10,119,198,30,13,1517
総数,4,13108,江東区,-96,-12,135,449,462,399,287,76,278,352,146,-29,2447
総数,4,13109,品川区,-33,-54,74,164,191,116,20,33,60,81,21,-122,551
総数,4,13110,目黒区,-7,-46,28,40,135,105,-20,-37,186,160,19,-106,457
総数,4,13111,大田区,-60,-117,-59,376,303,374,21,-95,107,159,58,41,1108
総数,4,13112,世田谷区,-9,-47,374,542,249,237,183,-138,159,171,36,-189,1568
総数,4,13113,渋谷区,-34,-4,109,340,166,93,12,-20,138,94,1,-148,747
総数,4,13114,中野区,-68,-71,166,944,466,331,384,20,209,253,-33,-59,2542
総数,4,13115,杉並区,-51,-63,182,565,344,297,205,24,279,223,-6,-129,1870
総数,4,13116,豊島区,-77,-22,193,1616,1135,483,670,-5,420,548,98,2,5061
総数,4,13117,北区,-72,-69,-13,700,572,330,308,25,306,305,95,-46,2441
総数,4,13118,荒川区,-55,-41,99,601,445,190,299,54,48,214,90,12,1956
総数,4,13119,板橋区,-83,-75,51,674,498,353,322,5,205,315,20,-57,2228
総数,4,13120,練馬区,-62,-66,30,517,328,235,190,-33,298,189,-9,-74,1543
総数,4,13121,足立区,-87,-72,38,531,502,349,270,187,184,249,122,192,2465
