国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和4年中の増減
総数,0,13000,総数,-7644,-8446,23430,21477,12780,6352,858,207,3589,3806,-2411,-7266,46732
総数,1,13100,区部,-5343,-5337,20087,17021,11086,5599,1861,1101,3173,3902,-1499,-5312,46339
総数,1,13200,市部,-2213,-3065,4043,4003,1737,748,-951,-761,471,-80,-814,-1854,1264
総数,2,13300,郡部,-70,-7,-79,-15,-49,21,-32,-89,-37,-6,-70,-56,-489
総数,2,13350,島部,-18,-37,-621,468,6,-16,-20,-44,-18,-10,-28,-44,-382
総数,1,13100,区部,-5343,-5337,20087,17021,11086,5599,1861,1101,3173,3902,-1499,-5312,46339
総数,4,13101,千代田区,126,-28,129,122,124,9,-82,118,143,135,-32,98,862
総数,4,13102,中央区,93,244,437,245,268,198,140,154,207,477,75,117,2655
総数,4,13103,港区,427,70,1103,877,508,353,8,431,323,341,272,-281,4432
総数,4,13104,新宿区,-293,-373,321,2785,1513,434,249,-161,576,652,-90,-556,5057
総数,4,13105,文京区,170,-21,737,724,469,325,21,255,422,394,38,-213,3321
総数,4,13106,台東区,66,134,522,842,508,353,377,170,176,353,272,-3,3770
総数,4,13107,墨田区,158,73,845,344,614,426,410,294,432,220,298,147,4261
総数,4,13108,江東区,-370,-376,1879,1314,1080,820,633,448,461,752,237,52,6930
総数,4,13109,品川区,-159,-224,1089,-181,218,62,-191,18,-29,40,-45,-101,497
総数,4,13110,目黒区,-188,-121,448,133,144,56,-204,19,219,101,-126,-122,359
総数,4,13111,大田区,-663,-584,1967,100,350,132,-447,-154,-190,-114,-254,-421,-278
総数,4,13112,世田谷区,-568,-424,1929,607,109,-143,-523,-125,-189,-384,-359,-699,-769
総数,4,13113,渋谷区,-170,-199,262,368,215,87,-43,20,0,81,-2,-220,399
総数,4,13114,中野区,-315,-335,1065,970,470,190,211,-30,-19,27,-274,-384,1576
総数,4,13115,杉並区,-335,-379,1936,827,203,88,-123,-71,-146,-245,-301,-371,1083
総数,4,13116,豊島区,-158,-107,518,1773,1324,903,774,-241,435,300,-57,-102,5362
総数,4,13117,北区,-216,-198,526,865,662,366,217,117,194,180,119,-378,2454
総数,4,13118,荒川区,-172,-165,155,544,408,161,205,11,41,158,11,-86,1271
総数,4,13119,板橋区,-560,-560,997,1015,654,216,77,7,-64,78,-410,-423,1027
総数,4,13120,練馬区,-483,-558,814,966,115,128,-153,184,81,2,-261,-279,556
総数,4,13121,足立区,-665,-376,1193,610,354,87,68,59,12,123,-167,-290,1008
総数,4,13122,葛飾区,-240,-158,852,496,320,247,198,-87,246,298,58,-138,2092
総数,4,13123,江戸川区,-828,-672,363,675,456,101,39,-335,-158,-67,-501,-659,-1586
