地域階層,地域コード,地域,令和5年1月1日現在人口,令和4年中の動き／人口増減,令和4年中の動き／社会増減（他県との移動増減）,令和4年中の動き／社会増減（他県との移動増減）／転入数,令和4年中の動き／社会増減（他県との移動増減）／転出数,令和4年中の動き／都内間の移動増減,令和4年中の動き／都内間の移動増減／転入数,令和4年中の動き／都内間の移動増減／転出数,令和4年中の動き／自然増減,令和4年中の動き／自然増減／出生数,令和4年中の動き／自然増減／死亡数,令和4年中の動き／その他の増減,（別掲）人口増減のうち日本人増減,面積(km2),人口密度(1km2当たり）,令和4年1月1日現在人口 
0,13000,総数,14034861,46732,35563,438782,403219,-1732,459254,460986,-45735,94334,140069,58636,-16499,2194.05,6397 ,13988129
1,13100,区部,9717480,46339,26735,340150,313415,-8165,344866,353031,-24838,68812,93650,52607,-8661,627.53,15485 ,9671141
1,13200,市部,4239226,1264,8863,97207,88344,6196,111946,105750,-19795,25174,44969,6000,-6848,783.95,5408 ,4237962
2,13300,郡部,54504,-489,51,756,705,267,1450,1183,-814,233,1047,7,-588,375.86,145 ,54993
2,13350,島部,23651,-382,-86,669,755,-30,992,1022,-288,115,403,22,-402,406.71,58 ,24033
1,13100,区部,9717480,46339,26735,340150,313415,-8165,344866,353031,-24838,68812,93650,52607,-8661,627.53,15485 ,9671141
4,13101,千代田区,67549,862,634,3077,2443,-779,4524,5303,119,585,466,888,323,11.66,5793 ,66687
4,13102,中央区,173130,2655,903,6796,5893,-111,9134,9245,882,1940,1058,981,1393,10.21,16957 ,170475
4,13103,港区,262208,4432,1497,9539,8042,-660,13635,14295,596,2436,1840,2999,2022,20.37,12872 ,257776
4,13104,新宿区,351085,5057,1667,15962,14295,-4857,19021,23878,-821,2328,3149,9068,-1315,18.22,19269 ,346028
4,13105,文京区,242945,3321,1532,8901,7369,-514,10358,10872,23,1845,1822,2280,677,11.29,21519 ,239624
4,13106,台東区,215802,3770,2106,9499,7393,265,11381,11116,-797,1463,2260,2196,1640,10.11,21345 ,212032
4,13107,墨田区,276419,4261,2427,12231,9804,899,12957,12058,-582,2152,2734,1517,2395,13.77,20074 ,272158
4,13108,江東区,530561,6930,2777,18432,15655,2633,19782,17149,-927,3876,4803,2447,2814,43.01,12336 ,523631
4,13109,品川区,419155,497,983,15396,14413,-914,14837,15751,-123,3460,3583,551,-685,22.84,18352 ,418658
4,13110,目黒区,284641,359,442,9875,9433,-224,13413,13637,-316,2179,2495,457,-565,14.67,19403 ,284282
4,13111,大田区,740034,-278,977,28704,27727,155,16497,16342,-2518,5068,7586,1108,-2210,61.86,11963 ,740312
4,13112,世田谷区,936846,-769,505,28919,28414,-1328,28042,29370,-1514,6326,7840,1568,-2835,58.05,16139 ,937615
4,13113,渋谷区,242397,399,752,7878,7126,-1048,13049,14097,-52,1802,1854,747,-669,15.11,16042 ,241998
4,13114,中野区,343419,1576,2071,13388,11317,-2279,16691,18970,-758,2334,3092,2542,-937,15.59,22028 ,341843
4,13115,杉並区,587185,1083,2507,18815,16308,-2073,21714,23787,-1221,4030,5251,1870,-635,34.06,17240 ,586102
