国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和4年中の増減
総数,0,13000,総数,-1073,-1484,-650,228,954,-37,-1126,1178,-242,-782,549,753,-1732
総数,1,13100,区部,-1291,-1123,-1065,-869,-40,-713,-1348,432,-868,-1168,-255,143,-8165
総数,1,13200,市部,215,-399,780,671,970,635,227,742,611,348,790,606,6196
総数,2,13300,郡部,7,38,37,55,16,44,-1,6,10,29,9,17,267
総数,2,13350,島部,-4,0,-402,371,8,-3,-4,-2,5,9,5,-13,-30
総数,1,13100,区部,-1291,-1123,-1065,-869,-40,-713,-1348,432,-868,-1168,-255,143,-8165
総数,4,13101,千代田区,32,-52,-52,-216,-122,-130,-154,-73,-26,6,-76,84,-779
総数,4,13102,中央区,31,169,-76,-134,-88,-43,-34,41,-38,107,-76,30,-111
総数,4,13103,港区,251,39,-81,-69,-143,-216,-165,-7,-86,-76,-42,-65,-660
総数,4,13104,新宿区,-240,-320,-679,-351,-382,-531,-559,-330,-471,-500,-182,-312,-4857
総数,4,13105,文京区,49,-97,42,-177,-64,-61,-77,55,22,-5,-68,-133,-514
総数,4,13106,台東区,119,115,103,53,-76,-50,23,-4,26,-84,25,15,265
総数,4,13107,墨田区,133,96,-58,-163,112,116,55,198,131,-81,257,103,899
総数,4,13108,江東区,-92,-149,708,378,470,278,209,182,57,273,109,210,2633
総数,4,13109,品川区,-132,-78,-164,-255,-49,-20,-103,-39,-64,-17,-50,57,-914
総数,4,13110,目黒区,-49,-83,-28,149,21,-37,-94,25,-13,-65,-74,24,-224
総数,4,13111,大田区,-122,-74,86,14,69,-68,12,28,29,-20,87,114,155
総数,4,13112,世田谷区,-258,-30,2,-188,-74,-181,-221,13,-70,-211,-8,-102,-1328
総数,4,13113,渋谷区,-182,-206,-235,-116,-18,-51,3,-12,-65,-73,-51,-42,-1048
総数,4,13114,中野区,-217,-218,-248,-245,-156,-173,-155,-64,-189,-166,-237,-211,-2279
総数,4,13115,杉並区,-242,-142,22,-214,-158,-171,-215,-138,-259,-366,-168,-22,-2073
総数,4,13116,豊島区,-86,-120,-141,26,90,355,104,-175,-22,-262,-64,-52,-347
総数,4,13117,北区,87,59,132,94,107,125,39,138,-24,-1,133,-13,876
総数,4,13118,荒川区,-23,-14,-136,-77,-19,-32,-65,17,-27,-19,21,19,-355
総数,4,13119,板橋区,-91,-95,-215,13,196,-1,62,138,-77,46,-115,100,-39
総数,4,13120,練馬区,-97,-41,-46,311,10,65,-2,204,167,65,83,191,910
総数,4,13121,足立区,89,134,232,175,106,77,12,170,108,103,120,77,1403
総数,4,13122,葛飾区,-9,173,95,118,87,65,40,132,179,137,58,75,1150
総数,4,13123,江戸川区,-242,-189,-328,5,41,-29,-63,-67,-156,41,63,-4,-928
総数,1,13200,市部,215,-399,780,671,970,635,227,742,611,348,790,606,6196
総数,4,13201,八王子市,30,-172,148,265,164,94,88,79,152,16,27,137,1028
総数,4,13202,立川市,-3,-41,109,-17,4,25,105,30,37,11,26,47,333
総数,4,13203,武蔵野市,-12,58,62,-91,81,-20,-31,43,-79,-92,-45,-54,-180
総数,4,13204,三鷹市,-38,-70,-55,-32,-17,-10,-53,-48,-41,-80,-29,-73,-546
総数,4,13205,青梅市,11,46,-52,-3,23,81,21,44,51,54,63,16,355
総数,4,13206,府中市,-22,-136,-111,-121,-14,-40,-103,-180,-27,-338,-54,-68,-1214
総数,4,13207,昭島市,-29,82,99,55,60,32,-3,94,12,8,112,80,602
総数,4,13208,調布市,91,40,125,88,69,129,80,59,-52,-40,53,77,719
総数,4,13209,町田市,34,-7,158,129,59,52,-41,27,14,-2,31,24,478
総数,4,13210,小金井市,-78,-46,-41,-57,15,10,-82,-18,8,-13,1,0,-301
総数,4,13211,小平市,47,10,-146,-3,136,34,4,73,169,387,244,153,1108
総数,4,13212,日野市,-9,-20,-27,-21,-26,24,77,48,79,-54,-59,33,45
総数,4,13213,東村山市,57,79,171,107,94,58,38,129,70,52,69,74,998
総数,4,13214,国分寺市,15,-87,73,86,15,-34,-14,-7,-34,-15,-13,-83,-98
総数,4,13215,国立市,28,-78,10,-1,12,-43,-23,42,-1,-43,-21,-12,-130
総数,4,13218,福生市,-2,-18,10,-32,3,8,-5,14,18,-5,-27,-20,-56
総数,4,13219,狛江市,28,-2,-69,30,-15,27,-6,5,9,12,20,49,88
総数,4,13220,東大和市,-7,24,-10,39,23,16,25,-40,-17,-3,22,80,152
総数,4,13221,清瀬市,10,8,18,45,19,71,21,56,4,38,15,65,370
総数,4,13222,東久留米市,49,40,69,61,69,53,38,67,84,21,55,-7,599
総数,4,13223,武蔵村山市,-26,-35,30,32,46,-13,-19,-14,-37,6,4,-7,-33
総数,4,13224,多摩市,-15,13,104,90,68,6,3,61,49,308,99,44,830
総数,4,13225,稲城市,10,-20,33,-14,-29,23,33,21,7,-24,3,57,100
総数,4,13227,羽村市,-14,-40,-10,-14,6,-16,-21,-9,-13,-14,25,5,-115
総数,4,13228,あきる野市,49,29,0,25,41,28,23,53,16,63,57,-18,366
総数,4,13229,西東京市,11,-56,82,25,64,40,72,113,133,95,112,7,698
総数,1,13550,町村部,3,38,-365,426,24,41,-5,4,15,38,14,4,237
総数,2,13300,郡部,7,38,37,55,16,44,-1,6,10,29,9,17,267
総数,4,13303,瑞穂町,8,28,10,26,3,12,-11,-11,-6,18,12,10,99
総数,4,13305,日の出町,3,14,26,21,9,23,12,18,1,8,-3,13,145
総数,4,13307,檜原村,0,3,11,1,1,-1,-7,2,14,-1,1,0,24
総数,4,13308,奥多摩町,-4,-7,-10,7,3,10,5,-3,1,4,-1,-6,-1
総数,2,13350,島部,-4,0,-402,371,8,-3,-4,-2,5,9,5,-13,-30
総数,3,13360,大島支庁,-10,-3,-212,167,-4,1,-1,-6,2,8,-1,-11,-70
総数,4,13361,大島町,-4,-1,-126,116,-6,-6,-2,12,0,5,0,-5,-17
総数,4,13362,利島村,-1,0,-19,6,0,-2,2,-1,1,1,-2,0,-15
総数,4,13363,新島村,-1,-3,-31,27,2,5,0,-7,1,2,1,-5,-9
総数,4,13364,神津島村,-4,1,-36,18,0,4,-1,-10,0,0,0,-1,-29
総数,3,13380,三宅支庁,2,-5,-63,62,-1,-3,-1,-8,-2,-2,-2,-1,-24
総数,4,13381,三宅村,2,-4,-55,62,-1,-4,-1,-7,-1,-1,-1,-1,-12
総数,4,13382,御蔵島村,0,-1,-8,0,0,1,0,-1,-1,-1,-1,0,-12
総数,3,13400,八丈支庁,-2,5,-98,103,6,1,1,14,3,2,3,3,41
総数,4,13401,八丈町,0,5,-87,93,6,1,1,15,3,2,3,2,44
