国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和4年中の増減
総数,0,13000,総数,10,-704,26603,8981,2653,72,-2044,2167,79,108,-731,-1631,35563
総数,1,13100,区部,86,-293,21550,5867,1885,-44,-1640,1785,-307,6,-667,-1493,26735
総数,1,13200,市部,-95,-429,5273,3029,752,96,-418,393,382,55,-39,-136,8863
総数,2,13300,郡部,14,23,-26,-24,-8,8,22,4,6,36,-15,11,51
総数,2,13350,島部,5,-5,-194,109,24,12,-8,-15,-2,11,-10,-13,-86
総数,1,13100,区部,86,-293,21550,5867,1885,-44,-1640,1785,-307,6,-667,-1493,26735
総数,4,13101,千代田区,87,41,94,134,62,6,-8,70,43,58,2,45,634
総数,4,13102,中央区,2,16,315,132,84,8,5,1,72,152,30,86,903
総数,4,13103,港区,165,41,808,150,47,57,-25,115,9,72,84,-26,1497
総数,4,13104,新宿区,157,111,725,332,46,67,-83,112,74,133,55,-62,1667
総数,4,13105,文京区,151,88,676,318,68,84,-56,65,70,9,66,-7,1532
総数,4,13106,台東区,118,101,448,318,166,130,165,152,67,160,213,68,2106
総数,4,13107,墨田区,128,96,917,199,217,150,100,131,198,125,66,100,2427
総数,4,13108,江東区,-44,-52,1210,523,225,188,143,230,132,184,39,-1,2777
総数,4,13109,品川区,61,-4,1259,-49,67,-88,-155,24,-34,-52,-55,9,983
総数,4,13110,目黒区,-70,61,495,-23,-3,6,-60,33,43,7,-40,-7,442
総数,4,13111,大田区,-162,-84,2293,-88,184,-73,-361,147,-167,-150,-210,-352,977
総数,4,13112,世田谷区,-90,-173,1847,419,67,-195,-519,123,-183,-320,-238,-233,505
総数,4,13113,渋谷区,75,13,419,157,79,51,-110,75,-66,48,19,-8,752
総数,4,13114,中野区,53,40,1228,343,200,56,11,81,24,23,39,-27,2071
総数,4,13115,杉並区,106,26,1958,571,44,8,-127,136,-46,-79,-7,-83,2507
総数,4,13116,豊島区,92,66,604,174,186,113,20,7,75,24,-52,28,1337
総数,4,13117,北区,-96,-12,661,239,96,-15,-57,102,8,24,1,-162,789
総数,4,13118,荒川区,5,-10,351,58,11,16,9,-10,42,-7,-37,-40,388
総数,4,13119,板橋区,-108,-92,1503,549,125,-31,-145,45,-15,-136,-110,-259,1326
総数,4,13120,練馬区,-69,-183,1154,359,-27,-119,-200,197,-284,-139,-176,-176,337
総数,4,13121,足立区,-225,-9,1451,254,73,-48,18,70,41,104,-19,-93,1617
総数,4,13122,葛飾区,89,1,942,73,-39,-165,-52,10,-35,-19,-8,-20,777
総数,4,13123,江戸川区,-339,-375,192,725,-93,-250,-153,-131,-375,-215,-329,-273,-1616
総数,1,13200,市部,-95,-429,5273,3029,752,96,-418,393,382,55,-39,-136,8863
総数,4,13201,八王子市,55,-140,1041,680,81,1,-25,129,11,33,96,53,2015
総数,4,13202,立川市,-18,-36,355,99,60,3,62,58,68,23,-27,19,666
総数,4,13203,武蔵野市,14,-23,245,26,-19,-50,-8,-44,-31,12,11,-45,88
総数,4,13204,三鷹市,-54,-96,190,187,-33,14,-94,34,-27,0,-27,-92,2
総数,4,13205,青梅市,10,21,6,18,35,23,5,12,14,28,-23,-15,134
総数,4,13206,府中市,-49,81,466,428,67,-35,-32,-71,236,-118,-40,1,934
総数,4,13207,昭島市,-17,5,173,16,-51,-6,-35,-81,-9,-17,1,-22,-43
総数,4,13208,調布市,14,-81,463,121,63,1,-98,-44,-103,-44,-94,-85,113
総数,4,13209,町田市,68,109,853,190,231,138,63,166,190,37,104,87,2236
総数,4,13210,小金井市,-30,-19,149,186,26,3,-36,13,-47,-38,-1,-32,174
総数,4,13211,小平市,21,12,-66,328,89,33,-39,31,46,135,-27,28,591
総数,4,13212,日野市,-30,-51,148,68,67,31,-13,-25,32,9,16,-10,242
総数,4,13213,東村山市,-44,-4,26,118,12,-36,-1,-9,24,-48,6,-20,24
総数,4,13214,国分寺市,-4,-10,404,151,90,10,11,65,16,-3,-9,-15,706
総数,4,13215,国立市,-38,25,117,160,-30,37,-32,7,-26,2,-22,-45,155
総数,4,13218,福生市,-19,-3,86,-12,7,21,8,-3,16,-4,40,6,143
総数,4,13219,狛江市,16,-36,146,18,-20,-32,-34,8,-2,-25,-63,-55,-79
総数,4,13220,東大和市,15,-29,-40,32,-19,-19,-41,10,11,-14,-9,-16,-119
総数,4,13221,清瀬市,47,-28,-31,29,-1,-38,-16,17,-28,-23,17,2,-53
総数,4,13222,東久留米市,16,-22,19,-26,-8,-16,-76,-31,38,20,26,0,-60
総数,4,13223,武蔵村山市,-25,-40,-15,57,43,-24,-13,27,-10,9,-31,9,-13
総数,4,13224,多摩市,1,-18,197,76,2,24,22,70,-2,83,42,48,545
総数,4,13225,稲城市,1,2,60,41,50,66,52,39,18,5,4,42,380
総数,4,13227,羽村市,15,37,3,-19,55,-9,12,11,-1,-8,-8,23,111
総数,4,13228,あきる野市,3,2,-40,-12,3,18,16,13,2,-3,2,20,24
総数,4,13229,西東京市,-63,-87,318,69,-48,-62,-76,-9,-54,4,-23,-22,-53
総数,1,13550,町村部,19,18,-220,85,16,20,14,-11,4,47,-25,-2,-35
総数,2,13300,郡部,14,23,-26,-24,-8,8,22,4,6,36,-15,11,51
総数,4,13303,瑞穂町,11,5,0,-6,-8,1,19,-6,-9,28,-14,10,31
総数,4,13305,日の出町,3,12,-14,-22,1,7,-3,2,7,9,-1,0,1
総数,4,13307,檜原村,0,0,1,1,-2,0,1,3,0,0,0,2,6
総数,4,13308,奥多摩町,0,6,-13,3,1,0,5,5,8,-1,0,-1,13
総数,2,13350,島部,5,-5,-194,109,24,12,-8,-15,-2,11,-10,-13,-86
総数,3,13360,大島支庁,9,8,-100,46,10,6,-6,4,3,11,-2,-7,-18
総数,4,13361,大島町,7,6,-50,27,5,6,-4,7,-3,11,-6,-1,5
総数,4,13362,利島村,0,-2,-5,9,1,1,0,-1,2,0,0,-2,3
総数,4,13363,新島村,0,3,-30,6,1,1,1,-2,3,2,6,-4,-13
総数,4,13364,神津島村,2,1,-15,4,3,-2,-3,0,1,-2,-2,0,-13
総数,3,13380,三宅支庁,-8,1,-19,21,5,-1,2,0,2,-1,-1,-6,-5
総数,4,13381,三宅村,-6,0,-16,11,4,-3,2,0,2,-2,0,-5,-13
総数,4,13382,御蔵島村,-2,1,-3,10,1,2,0,0,0,1,-1,-1,8
総数,3,13400,八丈支庁,4,-7,-54,36,1,13,-1,-8,-8,-5,-7,3,-33
総数,4,13401,八丈町,5,-7,-47,30,1,13,-1,-8,-7,-5,-7,2,-31
総数,4,13402,青ヶ島村,-1,0,-7,6,0,0,0,0,-1,0,0,1,-2
総数,3,13420,小笠原支庁,0,-7,-21,6,8,-6,-3,-11,1,6,0,-3,-30
総数,4,13421,小笠原村,0,-7,-21,6,8,-6,-3,-11,1,6,0,-3,-30
日本人,0,13000,総数,-42,-922,27631,8867,2311,-483,-2267,1442,-465,-600,-1232,-2173,32067
