地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和4年中の増減
4,13382,御蔵島村,-2,-1,-8,2,1,0,1,-2,0,1,0,0,-8
3,13400,八丈支庁,-9,-2,-93,82,-3,-2,-1,-2,-1,-2,-6,-1,-40
4,13401,八丈町,-8,-1,-82,73,-3,-3,-1,-2,-1,-2,-6,-3,-39
4,13402,青ヶ島村,-1,-1,-11,9,0,1,0,0,0,0,0,2,-1
3,13420,小笠原支庁,2,-3,-30,30,7,-3,-4,-13,5,2,-2,-4,-13
4,13421,小笠原村,2,-3,-30,30,7,-3,-4,-13,5,2,-2,-4,-13
,,,,,,,,,,,,,,,
人口の動き（令和4年中）,,,,,,,,,,,,,,,
第６表　区市町村、月別人口増減（総数　男）,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,
