国籍区分,地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,令和4年中の転入者数
総数,0,13000,総数,26078,27671,98722,56266,32723,29079,28898,31339,28246,28771,24953,26036,438782
総数,1,13100,区部,20538,21653,75571,42435,25453,22867,22854,24444,21771,22528,19705,20331,340150
総数,1,13200,市部,5442,5923,22957,13560,7177,6106,5948,6767,6399,6130,5191,5607,97207
総数,2,13300,郡部,59,64,106,71,50,55,67,71,39,70,32,72,756
総数,2,13350,島部,39,31,88,200,43,51,29,57,37,43,25,26,669
総数,1,13100,区部,20538,21653,75571,42435,25453,22867,22854,24444,21771,22528,19705,20331,340150
総数,4,13101,千代田区,204,184,617,520,207,170,189,227,203,193,142,221,3077
総数,4,13102,中央区,422,413,1392,817,512,463,430,460,475,528,412,472,6796
総数,4,13103,港区,666,617,2089,1124,690,648,583,721,584,637,594,586,9539
総数,4,13104,新宿区,1036,1054,3451,2098,1178,1052,1045,1170,1010,1032,937,899,15962
総数,4,13105,文京区,500,551,2333,1342,616,535,465,555,553,510,466,475,8901
総数,4,13106,台東区,641,653,1660,1113,755,689,689,718,639,701,655,586,9499
総数,4,13107,墨田区,796,779,2476,1360,906,865,873,851,869,910,762,784,12231
総数,4,13108,江東区,993,1030,4104,2509,1388,1286,1263,1353,1201,1240,1028,1037,18432
総数,4,13109,品川区,1007,1030,3507,1669,1172,1023,1075,1045,953,1046,916,953,15396
総数,4,13110,目黒区,547,692,2115,1242,739,644,684,784,629,625,520,654,9875
総数,4,13111,大田区,1702,1775,6602,3184,2226,1941,1821,2083,1902,1999,1662,1807,28704
総数,4,13112,世田谷区,1758,1895,6592,3870,2067,1821,1879,2147,1767,1761,1639,1723,28919
総数,4,13113,渋谷区,532,524,1506,948,578,544,551,608,511,571,476,529,7878
総数,4,13114,中野区,795,889,3108,1714,1061,871,889,927,821,839,741,733,13388
総数,4,13115,杉並区,1101,1167,4812,2592,1285,1194,1170,1280,1121,1099,1016,978,18815
総数,4,13116,豊島区,792,857,2573,1537,997,926,857,852,884,891,732,788,12686
総数,4,13117,北区,853,947,2946,1875,1171,962,1022,1077,950,965,911,840,14519
総数,4,13118,荒川区,459,467,1517,802,564,503,538,485,523,475,425,455,7213
総数,4,13119,板橋区,1199,1222,4740,2573,1518,1353,1257,1384,1314,1251,1099,1099,20009
総数,4,13120,練馬区,1314,1324,5279,2815,1520,1410,1536,1664,1310,1385,1132,1280,21969
総数,4,13121,足立区,1240,1382,4513,2420,1694,1580,1544,1611,1425,1607,1396,1388,21800
総数,4,13122,葛飾区,843,919,3122,1627,1048,931,1011,1001,896,942,848,860,14048
総数,4,13123,江戸川区,1138,1282,4517,2684,1561,1456,1483,1441,1231,1321,1196,1184,20494
総数,1,13200,市部,5442,5923,22957,13560,7177,6106,5948,6767,6399,6130,5191,5607,97207
