国籍区分,地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,令和4年中の転入者数
総数,0,13000,総数,30550,34116,58897,42257,37836,37170,34970,39060,35340,36647,36002,36409,459254
総数,1,13100,区部,23115,25855,42679,30913,28612,28462,26735,29594,26528,27556,27276,27541,344866
総数,1,13200,市部,7301,8133,15869,10653,9096,8536,8099,9304,8669,8940,8597,8749,111946
総数,2,13300,郡部,103,103,205,169,101,138,105,82,111,124,106,103,1450
総数,2,13350,島部,31,25,144,522,27,34,31,80,32,27,23,16,992
総数,1,13100,区部,23115,25855,42679,30913,28612,28462,26735,29594,26528,27556,27276,27541,344866
総数,4,13101,千代田区,331,310,544,411,316,317,304,376,386,435,340,454,4524
総数,4,13102,中央区,620,766,1046,775,686,771,717,813,727,782,660,771,9134
総数,4,13103,港区,1143,1004,1556,1261,1117,1057,1053,1305,965,1079,1075,1020,13635
総数,4,13104,新宿区,1278,1440,2234,1817,1612,1527,1382,1668,1456,1493,1622,1492,19021
総数,4,13105,文京区,732,754,1502,862,823,841,751,913,844,831,739,766,10358
総数,4,13106,台東区,833,874,1275,999,874,929,945,922,909,886,976,959,11381
総数,4,13107,墨田区,929,974,1405,965,1037,1126,1049,1205,1102,998,1123,1044,12957
総数,4,13108,江東区,1121,1188,2897,1970,1778,1672,1573,1587,1457,1572,1484,1483,19782
総数,4,13109,品川区,1046,1151,1839,1196,1267,1206,1132,1199,1128,1199,1190,1284,14837
総数,4,13110,目黒区,890,1000,1700,1276,1164,1022,969,1153,988,1051,1069,1131,13413
総数,4,13111,大田区,1109,1284,2263,1352,1377,1263,1246,1367,1269,1249,1357,1361,16497
総数,4,13112,世田谷区,1879,2310,3636,2471,2329,2166,2146,2414,2059,2184,2218,2230,28042
総数,4,13113,渋谷区,865,915,1464,1127,1123,1127,1057,1128,953,1062,1112,1116,13049
総数,4,13114,中野区,1094,1247,1994,1470,1417,1353,1322,1482,1282,1387,1299,1344,16691
総数,4,13115,杉並区,1496,1733,2844,1900,1739,1747,1657,1921,1603,1604,1640,1830,21714
総数,4,13116,豊島区,1023,1114,1811,1582,1501,1812,1496,1276,1321,1260,1196,1230,16622
総数,4,13117,北区,882,1039,1648,1228,1108,1152,1023,1113,1020,1120,1064,959,13356
総数,4,13118,荒川区,577,644,884,713,672,731,639,692,664,684,729,698,8327
総数,4,13119,板橋区,1103,1298,2144,1572,1509,1421,1346,1574,1349,1471,1350,1429,17566
総数,4,13120,練馬区,1351,1644,2652,2154,1671,1730,1671,1966,1701,1766,1728,1800,21834
総数,4,13121,足立区,1124,1195,1942,1405,1266,1285,1201,1336,1251,1273,1232,1189,15699
総数,4,13122,葛飾区,794,951,1452,1117,1004,981,962,991,1013,965,894,912,12036
総数,4,13123,江戸川区,895,1020,1947,1290,1222,1226,1094,1193,1081,1205,1179,1039,14391
総数,1,13200,市部,7301,8133,15869,10653,9096,8536,8099,9304,8669,8940,8597,8749,111946
総数,4,13201,八王子市,684,700,1719,1166,916,796,765,858,840,768,732,816,10760
総数,4,13202,立川市,404,439,942,597,493,480,534,537,506,521,491,472,6416
総数,4,13203,武蔵野市,402,543,852,498,499,476,411,554,450,452,443,481,6061
総数,4,13204,三鷹市,442,470,884,609,506,504,448,507,523,449,476,472,6290
総数,4,13205,青梅市,177,213,352,232,202,245,204,198,235,240,239,215,2752
総数,4,13206,府中市,410,536,856,746,512,502,428,559,556,505,480,503,6593
総数,4,13207,昭島市,188,302,506,352,279,266,234,322,235,252,296,289,3521
総数,4,13208,調布市,557,643,1122,720,622,656,600,611,531,544,634,594,7834
総数,4,13209,町田市,378,403,923,584,429,405,331,399,354,376,383,376,5341
総数,4,13210,小金井市,256,318,630,382,376,361,300,361,351,351,318,403,4407
総数,4,13211,小平市,387,436,833,553,543,436,427,533,569,770,625,558,6670
総数,4,13212,日野市,308,366,680,439,430,395,427,442,410,354,334,418,5003
総数,4,13213,東村山市,256,309,610,367,345,280,308,386,304,309,302,300,4076
総数,4,13214,国分寺市,310,336,729,494,362,347,326,370,359,354,348,327,4662
総数,4,13215,国立市,193,149,442,256,232,158,214,269,181,184,208,196,2682
