地域階層,地域コード,地域,平成17年／総数,平成17年／男,平成17年／女,平成18年／総数,平成18年／男,平成18年／女,平成19年／総数,平成19年／男,平成19年／女,平成20年／総数,平成20年／男,平成20年／女,平成21年／総数,平成21年／男,平成21年／女,平成22年／総数,平成22年／男,平成22年／女,平成23年／総数,平成23年／男,平成23年／女,平成24年／総数,平成24年／男,平成24年／女,平成25年／総数,平成25年／男,平成25年／女,平成26年／総数,平成26年／男,平成26年／女,平成27年／総数,平成27年／男,平成27年／女,平成28年／総数,平成28年／男,平成28年／女,平成29年／総数,平成29年／男,平成29年／女,平成30年／総数,平成30年／男,平成30年／女,平成31年／総数,平成31年／男,平成31年／女,令和2年／総数,令和2年／男,令和2年／女,令和3年／総数,令和3年／男,令和3年／女,令和4年／総数,令和4年／男,令和4年／女,令和5年／総数,令和5年／男,令和5年／女
4,13106,台東区,163531,83574,79957,165544,84787,80757,167136,85719,81417,168724,87024,81700,172136,89288,82848,174524,91105,83419,176874,92602,84272,180371,94135,86236,185330,96302,89028,190138,98551,91587,194557,100405,94152,198632,102337,96295,200994,103442,97552,203602,104643,98959,207068,106364,100704,210516,108225,102291,211970,108944,103026,212032,108753,103279,215802,110524,105278
4,13107,墨田区,229414,114191,115223,231458,115448,116010,235744,117644,118100,239363,119284,120079,242097,120832,121265,245328,122322,123006,247579,123358,124221,247249,123379,123870,248613,124200,124413,250792,125432,125360,254142,127072,127070,257103,128347,128756,260829,129820,131009,264709,131558,133151,267892,132877,135015,271156,134341,136815,272081,134708,137373,272158,134607,137551,276419,136404,140015
4,13108,江東区,410065,204225,205840,423083,210288,212795,430908,214004,216904,437131,217253,219878,445778,221421,224357,456528,226748,229780,462165,229264,232901,467816,231843,235973,473061,234423,238638,481499,238659,242840,489879,242722,247157,498890,247049,251841,503960,249504,254456,510707,252439,258268,516048,254760,261288,519464,255830,263634,523980,257773,266207,523631,257405,266226,530561,260695,269866
4,13109,品川区,343337,169642,173695,347128,171530,175598,350848,173389,177459,356371,175973,180398,359786,177745,182041,363145,179371,183774,366072,180558,185514,369377,182162,187215,372600,183730,188870,376166,185570,190596,380890,187972,192918,388428,191963,196465,394006,194739,199267,399825,197555,202270,407884,201604,206280,415882,205542,210340,421363,208075,213288,418658,206545,212113,419155,206570,212585
4,13110,目黒区,262313,124155,138158,264003,124917,139086,266854,126212,140642,267143,125882,141261,267685,125758,141927,267234,125135,142099,267983,125425,142558,268690,125905,142785,271077,127324,143753,273620,128652,144968,275915,130025,145890,277680,131043,146637,279875,132226,147649,282908,133631,149277,285424,134833,150591,287513,135694,151819,287323,135438,151885,284282,133780,150502,284641,133861,150780
4,13111,大田区,660816,335451,325365,666812,338220,328592,673552,340942,332610,680211,343790,336421,686372,346057,340315,691409,347828,343581,693189,347673,345516,695466,349051,346415,698749,350686,348063,704463,353321,351142,711570,357002,354568,717413,359878,357535,723926,362907,361019,731285,366024,365261,738797,368840,369957,745080,371421,373659,745281,370994,374287,740312,368998,371314,740034,369146,370888
4,13112,世田谷区,835661,402927,432734,842025,405489,436536,853831,410681,443150,861134,413802,447332,867805,416385,451420,871381,417547,453834,877002,419334,457668,880360,420346,460014,884238,421566,462672,890404,423745,466659,896532,426126,470406,904893,429476,475417,914096,433385,480711,921628,436229,485399,930387,439949,490438,938925,443699,495226,941779,444749,497030,937615,442430,495185,936846,442092,494754
4,13113,渋谷区,202225,97952,104273,203922,98814,105108,205019,99033,105986,204871,98635,106236,204261,98266,105995,203688,97288,106400,204992,97471,107521,208704,99623,109081,212916,101876,111040,216977,104238,112739,220742,106153,114589,225282,108382,116900,229252,110417,118835,233247,112433,120814,236733,114159,122574,241395,116424,124971,243491,117650,125841,241998,116946,125052,242397,116855,125542
4,13114,中野区,310750,154927,155823,310368,155088,155280,311217,155413,155804,312726,156234,156492,314074,157029,157045,314278,157158,157120,314018,156880,157138,313909,157102,156807,315822,158265,157557,319081,160186,158895,322897,162451,160446,328921,165800,163121,333181,167653,165528,336952,169426,167526,340478,170878,169600,344632,172611,172021,344458,172277,172181,341843,170721,171122,343419,171703,171716
4,13115,杉並区,526631,255781,270850,529435,256688,272747,533809,258195,275614,540224,260907,279317,544926,263002,281924,547772,263565,284207,548934,263548,285386,549123,263647,285476,550873,264968,285905,553971,266570,287401,558352,268985,289367,564867,272234,292633,571528,275451,296077,578084,278242,299842,583733,280882,302851,589741,283676,306065,589903,283793,306110,586102,281891,304211,587185,282679,304506
4,13116,豊島区,249678,124900,124778,251566,125977,125589,259259,129988,129271,266475,133815,132660,272567,137394,135173,279057,140937,138120,284534,143613,140921,284768,143414,141354,284665,143303,141362,285733,143778,141955,287939,145166,142773,291736,147217,144519,296087,149226,146861,299587,150934,148653,302687,151944,150743,304129,152517,151612,301709,151228,150481,297751,149248,148503,303113,152010,151103
4,13117,北区,329139,163207,165932,330021,163657,166364,329156,163235,165921,332039,164666,167373,334984,166228,168756,335405,166403,169002,334704,165782,168922,333360,165147,168213,333773,165354,168419,335316,166363,168953,338634,168362,170272,341816,170209,171607,345933,172242,173691,349040,173852,175188,353218,175718,177500,355380,176651,178729,354805,176185,178620,352925,175304,177621,355379,176719,178660
4,13118,荒川区,188611,94067,94544,190972,95166,95806,191748,95490,96258,195088,97056,98032,199010,98885,100125,201245,99909,101336,203581,100880,102701,205122,101493,103629,206303,102169,104134,208089,103115,104974,210161,104038,106123,212873,105455,107418,214607,106403,108204,216023,107004,109019,217226,107444,109782,218278,107911,110367,217580,107719,109861,216588,107214,109374,217859,107894,109965
4,13119,板橋区,522486,263388,259098,523857,263811,260046,526451,264180,262271,529123,264657,264466,533026,265994,267032,536061,266678,269383,535696,265364,270332,538224,266398,271826,542371,267993,274378,547540,270272,277268,554226,273085,281141,563153,277203,285950,569940,280526,289414,574578,282334,292244,579996,284394,295602,584704,286366,298338,583745,285890,297855,580746,283885,296861,581773,284234,297539
4,13120,練馬区,690698,342001,348697,692979,342737,350242,698268,344828,353440,704507,347353,357154,710540,349670,360870,714359,350663,363696,715203,349978,365225,714797,349285,365512,715193,349212,365981,716214,349680,366534,718715,350498,368217,722686,351963,370723,728940,354147,374793,735405,356116,379289,741068,357740,383328,749821,360922,388899,751816,361409,390407,750075,360106,389969,750631,360019,390612
4,13121,足立区,624427,315474,308953,626196,316266,309930,634141,320067,314074,648769,327296,321473,661106,333437,327669,675606,340583,335023,682856,343740,339116,678777,340847,337930,674596,337953,336643,671383,335984,335399,670469,335454,335015,671153,335407,335746,675902,338021,337881,682294,341235,341059,687634,343940,343694,692725,346398,346327,694218,346977,347241,692322,345769,346553,693330,346362,346968
4,13122,葛飾区,422372,211611,210761,425218,212825,212393,428317,214585,213732,431785,216363,215422,434795,217917,216878,438130,219753,218377,442856,222039,220817,440951,220888,220063,438983,219767,219216,439524,219976,219548,440391,220178,220213,443143,221664,221479,446927,223383,223544,450132,224901,225231,451965,225555,226410,453592,226148,227444,452476,225534,226942,450868,224327,226541,452960,225250,227710
4,13123,江戸川区,650535,332063,318472,654582,334216,320366,659881,336495,323386,666010,339080,326930,670968,340958,330010,675306,342330,332976,678842,343302,335540,676233,341382,334851,672624,339404,333220,672873,339528,333345,676470,341151,335319,682321,344095,338226,688486,347173,341313,693391,349278,344113,697094,350823,346271,700190,352395,347795,697029,350795,346234,690645,347135,343510,689059,346256,342803
1,13200,市部,3978514,2000681,1977833,4003879,2011330,1992549,4028764,2020481,2008283,4059366,2032691,2026675,4084520,2041725,2042795,4110951,2051687,2059264,4128035,2055995,2072040,4130436,2053706,2076730,4131264,2051053,2080211,4137067,2050761,2086306,4145397,2052148,2093249,4159567,2056882,2102685,4180113,2065158,2114955,4196647,2071217,2125430,4213284,2076868,2136416,4226814,2081409,2145405,4235873,2083799,2152074,4237962,2083043,2154919,4239226,2082480,2156746
4,13201,八王子市,557513,284851,272662,560656,286356,274300,564146,287615,276531,568199,289112,279087,572892,290966,281926,577701,292682,285019,580289,293542,286747,580977,293667,287310,580374,293074,287300,578961,292170,286791,577663,291393,286270,577633,291271,286362,578620,291731,286889,579124,291841,287283,578956,291486,287470,579528,291324,288204,579311,291291,288020,579241,291187,288054,579628,291284,288344
4,13202,立川市,171792,85539,86253,172753,86012,86741,174639,86973,87666,176293,87804,88489,177881,88652,89229,179036,89325,89711,179459,89308,90151,178697,88772,89925,177561,88020,89541,176527,87360,89167,176580,87115,89465,176627,87200,89427,178864,88449,90415,180464,89321,91143,182122,90239,91883,182867,90802,92065,183719,91266,92453,184266,91359,92907,184625,91339,93286
4,13203,武蔵野市,136374,66034,70340,137900,66808,71092,137948,66599,71349,137863,66417,71446,137739,66276,71463,137911,66210,71701,138413,66209,72204,138811,66383,72428,139778,66871,72907,141633,67899,73734,143440,68812,74628,144785,69463,75322,145687,69865,75822,146825,70427,76398,148523,71167,77356,149188,71497,77691,150115,71871,78244,150497,72041,78456,150436,72105,78331
4,13204,三鷹市,176057,88220,87837,177223,88659,88564,178719,89064,89655,182410,90711,91699,184006,91311,92695,185851,92123,93728,185752,91758,93994,185467,91192,94275,185425,90885,94540,185072,90386,94686,186532,90854,95678,187007,90677,96330,189477,91870,97607,191005,92617,98388,192076,92974,99102,193588,93674,99914,195455,94461,100994,195919,94648,101271,195245,94148,101097
4,13205,青梅市,142346,71840,70506,142221,71636,70585,141340,71125,70215,140731,70772,69959,139938,70201,69737,139431,69907,69524,139494,69789,69705,139445,69711,69734,138665,69277,69388,137967,68853,69114,137396,68539,68857,137325,68663,68662,136705,68344,68361,136111,68081,68030,135088,67558,67530,134173,66996,67177,133389,66588,66801,132368,66077,66291,131518,65651,65867
4,13206,府中市,241331,125184,116147,245384,126969,118415,246717,127515,119202,248426,128101,120325,250451,128789,121662,253492,130509,122983,255211,131196,124015,255586,130816,124770,255519,130247,125272,256786,130628,126158,257879,130797,127082,259883,131691,128192,260981,131885,129096,261487,131652,129835,262707,131759,130948,262796,131646,131150,262721,131374,131347,262719,131045,131674,262390,130756,131634
4,13207,昭島市,109669,55278,54391,110744,55734,55010,111297,55966,55331,111680,56151,55529,111433,56003,55430,111887,56210,55677,112249,56290,55959,112293,56131,56162,111793,55781,56012,111543,55529,56014,111376,55412,55964,111629,55479,56150,111854,55556,56298,112664,55993,56671,112962,56167,56795,113494,56447,57047,113912,56604,57308,114189,56761,57428,114619,56956,57663
4,13208,調布市,214987,108807,106180,216252,109105,107147,216797,108943,107854,218515,109427,109088,221344,110428,110916,223072,110971,112101,223623,110825,112798,224436,110885,113551,225591,111125,114466,226240,111004,115236,226856,111105,115751,229277,111964,117313,233197,113750,119447,236229,114876,121353,239365,116069,123296,241703,116813,124890,242793,117111,125682,242917,117089,125828,243483,117314,126169
4,13209,町田市,403475,199386,204089,406354,200647,205707,411653,203112,208541,416284,205036,211248,420290,206894,213396,424230,208576,215654,427287,209738,217549,428494,210283,218211,429472,210883,218589,430502,211373,219129,431489,211875,219614,432139,212151,219988,433055,212362,220693,432522,211831,220691,431782,211156,220626,431225,210740,220485,431031,210487,220544,432264,211005,221259,432710,211043,221667
4,13210,小金井市,114014,57700,56314,114080,57711,56369,114563,57879,56684,115712,58323,57389,116307,58526,57781,117174,58791,58383,119091,59719,59372,119642,59933,59709,119563,59702,59861,120529,59939,60590,120965,60071,60894,121484,60189,61295,122681,60655,62026,123409,60838,62571,124405,61210,63195,125095,61437,63658,126475,61927,64548,127264,62241,65023,127403,62346,65057
4,13211,小平市,183421,91683,91738,183944,91895,92049,184569,92105,92464,185707,92662,93045,186318,92890,93428,186846,92832,94014,186768,92735,94033,186821,92644,94177,187926,93100,94826,188358,93053,95305,188743,93121,95622,190257,93912,96345,191952,94631,97321,193779,95536,98243,196498,96625,99873,198185,97338,100847,199162,97638,101524,198980,97356,101624,200543,98034,102509
4,13212,日野市,175746,90346,85400,177028,90861,86167,177923,91068,86855,178497,91240,87257,178885,91132,87753,179313,91077,88236,180179,91286,88893,181063,91513,89550,181654,91537,90117,182745,91932,90813,184404,92562,91842,186416,93455,92961,187195,93688,93507,188228,94126,94102,188911,94297,94614,189821,94663,95158,190470,94882,95588,190747,94892,95855,190697,94859,95838
4,13213,東村山市,144391,71340,73051,145118,71716,73402,146163,72140,74023,147506,72761,74745,149780,73780,76000,152296,74916,77380,153369,75350,78019,153319,75253,78066,152636,74801,77835,151648,74223,77425,150764,73748,77016,150071,73346,76725,150190,73344,76846,150711,73492,77219,150711,73422,77289,151411,73685,77726,151912,73880,78032,152032,73842,78190,152151,73970,78181
4,13214,国分寺市,116064,58168,57896,117737,58946,58791,118313,59133,59180,119113,59457,59656,120244,59998,60246,120803,60223,60580,120328,59745,60583,119880,59359,60521,120885,59722,61163,121542,59923,61619,122219,60176,62043,122767,60264,62503,123479,60551,62928,124493,60894,63599,126506,61771,64735,127983,62333,65650,129672,63245,66427,130602,63746,66856,131048,63874,67174
4,13215,国立市,72677,36487,36190,72889,36498,36391,73367,36608,36759,74149,37083,37066,74567,37129,37438,75039,37291,37748,75255,37351,37904,74894,37195,37699,74546,36876,37670,73991,36506,37485,73797,36290,37507,73930,36160,37770,74770,36524,38246,75387,36800,38587,76048,37103,38945,76639,37373,39266,76998,37426,39572,76944,37364,39580,76795,37214,39581
4,13218,福生市,61271,30989,30282,61042,30872,30170,60727,30670,30057,60501,30565,29936,60440,30436,30004,60168,30218,29950,59625,29878,29747,59141,29648,29493,58849,29541,29308,58583,29363,29220,58349,29209,29140,58423,29268,29155,58288,29103,29185,58043,28875,29168,57826,28787,29039,57121,28382,28739,56471,28064,28407,55721,27675,28046,55648,27724,27924
4,13219,狛江市,77674,38970,38704,78342,39141,39201,78213,38986,39227,78418,38956,39462,78395,38795,39600,78777,38894,39883,78613,38737,39876,78265,38502,39763,78261,38456,39805,78872,38673,40199,79838,39049,40789,80617,39345,41272,81587,39721,41866,82744,40202,42542,83601,40539,43062,84548,40976,43572,84680,40973,43707,84434,40805,43629,84161,40547,43614
4,13220,東大和市,79322,39578,39744,79339,39531,39808,80272,39965,40307,81844,40673,41171,82071,40673,41398,82690,40948,41742,83456,41250,42206,83606,41226,42380,83891,41327,42564,84311,41491,42820,85139,41842,43297,85032,41745,43287,84806,41579,43227,84506,41405,43101,84284,41335,42949,83950,41107,42843,83913,41011,42902,83881,40927,42954,83466,40754,42712
4,13221,清瀬市,73091,35745,37346,73586,35936,37650,73641,35827,37814,73474,35561,37913,73476,35441,38035,73836,35569,38267,74094,35583,38511,74335,35650,38685,74330,35644,38686,74576,35799,38777,74822,35981,38841,74972,36039,38933,75250,36109,39141,75757,36380,39377,75817,36391,39426,75886,36406,39480,76290,36596,39694,76333,36520,39813,76087,36408,39679
4,13222,東久留米市,115281,57048,58233,115437,57181,58256,115408,57171,58237,115625,57249,58376,116077,57469,58608,116271,57479,58792,116297,57432,58865,115757,56945,58812,115488,56733,58755,116029,56710,59319,116065,56641,59424,116607,56678,59929,116101,56352,59749,115815,56157,59658,115636,56006,59630,115415,55821,59594,115317,55640,59677,115401,55651,59750,115149,55432,59717
4,13223,武蔵村山市,65853,33120,32733,66957,33670,33287,67419,33833,33586,68236,34187,34049,69196,34592,34604,69775,34819,34956,70165,35011,35154,70577,35218,35359,70871,35382,35489,71073,35500,35573,71133,35525,35608,71390,35640,35750,71318,35569,35749,71499,35588,35911,71494,35646,35848,71268,35527,35741,70864,35305,35559,70713,35188,35525,70137,34879,35258
4,13224,多摩市,146263,73397,72866,145724,73040,72684,146070,73137,72933,148304,74172,74132,148398,73955,74443,148390,73657,74733,147388,72901,74487,146293,72145,74148,145284,71453,73831,147021,72219,74802,146633,71834,74799,146788,71770,75018,147105,71847,75258,147407,71926,75481,147304,71986,75318,147259,71900,75359,146824,71542,75282,145873,71194,74679,146555,71469,75086
4,13225,稲城市,75771,38622,37149,76762,39129,37633,79612,40537,39075,80935,41230,39705,82459,42073,40386,83461,42637,40824,85070,43390,41680,85725,43603,42122,86227,43711,42516,86511,43785,42726,86924,43830,43094,87803,44105,43698,89599,45047,44552,90580,45576,45004,91411,45968,45443,92522,46553,45969,93362,46962,46400,94107,47270,46837,94521,47358,47163
4,13227,羽村市,56465,29055,27410,56344,29001,27343,56853,29254,27599,56896,29204,27692,56959,29241,27718,56895,29117,27778,56912,29068,27844,56721,28989,27732,56553,28848,27705,56167,28567,27600,55947,28459,27488,55719,28326,27393,55646,28301,27345,55311,28082,27229,55087,27973,27114,54870,27835,27035,54268,27388,26880,54152,27333,26819,54047,27320,26727
4,13228,あきる野市,79442,39867,39575,79682,39924,39758,79706,39910,39796,80340,40166,40174,80485,40215,40270,80789,40390,40399,80949,40431,40518,81169,40516,40653,81140,40464,40676,81170,40419,40751,81024,40271,40753,80854,40171,40683,80693,40071,40622,80199,39780,40419,79988,39616,40372,79725,39484,40241,79221,39173,40048,79112,39101,40011,78807,38939,39868
4,13229,西東京市,188224,93427,94797,190381,94352,96029,192689,95346,97343,193708,95671,98037,194489,95860,98629,195817,96316,99501,198699,97473,101226,199022,97527,101495,198982,97593,101389,198710,97457,101253,199420,97637,101783,200132,97910,102222,201013,98254,102759,202348,98921,103427,204176,99618,104558,206554,100650,105904,207528,101094,106434,207286,100726,106560,207357,100757,106600
1,13550,町村部,86256,43365,42891,88068,44418,43650,87861,44324,43537,87161,43979,43182,86860,43815,43045,86744,43776,42968,86534,43728,42806,86351,43581,42770,85908,43372,42536,85353,43166,42187,85011,42996,42015,84715,42902,41813,83750,42496,41254,83034,42129,40905,81930,41565,40365,80771,40996,39775,79816,40466,39350,79026,40062,38964,78155,39541,38614
2,13300,郡部,59701,29828,29873,59330,29682,29648,59245,29590,29655,58811,29362,29449,58697,29292,29405,58784,29320,29464,58748,29310,29438,58668,29215,29453,58527,29161,29366,58414,29131,29283,58349,29065,29284,58315,29090,29225,57838,28917,28921,57410,28701,28709,56680,28299,28381,55924,27898,28026,55409,27585,27824,54993,27372,27621,54504,27083,27421
4,13303,瑞穂町,33726,17030,16696,33767,17074,16693,33750,17046,16704,33653,17035,16618,33568,16966,16602,33576,16959,16617,33487,16937,16550,33392,16819,16573,33263,16766,16497,33349,16838,16511,33321,16821,16500,33458,16970,16488,33182,16834,16348,32916,16709,16207,32520,16464,16056,32049,16190,15859,31733,15966,15767,31493,15840,15653,31326,15741,15585
4,13305,日の出町,16095,7947,8148,15937,7872,8065,16033,7912,8121,15976,7864,8112,16157,7971,8186,16440,8099,8341,16694,8218,8476,16953,8338,8615,17246,8465,8781,17275,8460,8815,17464,8513,8951,17461,8484,8977,17439,8508,8931,17366,8450,8916,17124,8335,8789,17071,8331,8740,16952,8270,8682,16913,8259,8654,16773,8177,8596
4,13307,檜原村,2998,1483,1515,2921,1445,1476,2861,1414,1447,2756,1360,1396,2700,1322,1378,2639,1290,1349,2547,1237,1310,2463,1199,1264,2379,1168,1211,2314,1137,1177,2232,1101,1131,2196,1075,1121,2142,1061,1081,2109,1035,1074,2088,1021,1067,2013,974,1039,1992,974,1018,1949,956,993,1918,936,982
4,13308,奥多摩町,6882,3368,3514,6705,3291,3414,6601,3218,3383,6426,3103,3323,6272,3033,3239,6129,2972,3157,6020,2918,3102,5860,2859,3001,5639,2762,2877,5476,2696,2780,5332,2630,2702,5200,2561,2639,5075,2514,2561,5019,2507,2512,4948,2479,2469,4791,2403,2388,4732,2375,2357,4638,2317,2321,4487,2229,2258
2,13350,島部,26555,13537,13018,28738,14736,14002,28616,14734,13882,28350,14617,13733,28163,14523,13640,27960,14456,13504,27786,14418,13368,27683,14366,13317,27381,14211,13170,26939,14035,12904,26662,13931,12731,26400,13812,12588,25912,13579,12333,25624,13428,12196,25250,13266,11984,24847,13098,11749,24407,12881,11526,24033,12690,11343,23651,12458,11193
3,13360,大島支庁,14349,7085,7264,14251,7031,7220,14121,6984,7137,13890,6880,7010,13812,6838,6974,13659,6776,6883,13549,6768,6781,13433,6720,6713,13223,6613,6610,13052,6575,6477,12941,6556,6385,12812,6517,6295,12508,6367,6141,12344,6294,6050,12160,6223,5937,11949,6139,5810,11698,6004,5694,11475,5891,5584,11232,5761,5471
4,13361,大島町,8827,4331,4496,8702,4266,4436,8690,4268,4422,8610,4259,4351,8599,4254,4345,8536,4231,4305,8444,4228,4216,8369,4199,4170,8159,4092,4067,8023,4054,3969,7961,4056,3905,7877,4029,3848,7709,3953,3756,7568,3868,3700,7399,3798,3601,7222,3720,3502,7084,3652,3432,6935,3568,3367,6823,3509,3314
4,13362,利島村,315,175,140,312,171,141,307,174,133,310,174,136,317,186,131,321,191,130,346,206,140,344,203,141,341,195,146,329,191,138,329,188,141,336,191,145,335,188,147,341,195,146,342,194,148,340,201,139,327,197,130,349,202,147,334,192,142
4,13363,新島村,3132,1525,1607,3167,1542,1625,3102,1521,1581,3023,1466,1557,2951,1417,1534,2907,1404,1503,2873,1388,1485,2838,1372,1466,2826,1373,1453,2802,1364,1438,2773,1348,1425,2721,1334,1387,2632,1292,1340,2584,1282,1302,2560,1270,1290,2504,1241,1263,2433,1199,1234,2347,1162,1185,2295,1131,1164
4,13364,神津島村,2075,1054,1021,2070,1052,1018,2022,1021,1001,1947,981,966,1945,981,964,1895,950,945,1886,946,940,1882,946,936,1897,953,944,1898,966,932,1878,964,914,1878,963,915,1832,934,898,1851,949,902,1859,961,898,1883,977,906,1854,956,898,1844,959,885,1780,929,851
3,13380,三宅支庁,289,158,131,2716,1488,1228,2805,1557,1248,2905,1619,1286,2945,1645,1300,2981,1660,1321,3033,1687,1346,3004,1671,1333,2970,1642,1328,2923,1614,1309,2880,1585,1295,2798,1533,1265,2757,1521,1236,2740,1496,1244,2683,1480,1203,2632,1460,1172,2585,1448,1137,2556,1438,1118,2488,1389,1099
4,13381,三宅村,0,0,0,2427,1328,1099,2524,1399,1125,2606,1450,1156,2621,1461,1160,2645,1471,1174,2686,1499,1187,2659,1480,1179,2627,1452,1175,2584,1427,1157,2560,1406,1154,2465,1346,1119,2437,1343,1094,2401,1309,1092,2352,1300,1052,2303,1277,1026,2268,1267,1001,2247,1262,985,2186,1221,965
4,13382,御蔵島村,289,158,131,289,160,129,281,158,123,299,169,130,324,184,140,336,189,147,347,188,159,345,191,154,343,190,153,339,187,152,320,179,141,333,187,146,320,178,142,339,187,152,331,180,151,329,183,146,317,181,136,309,176,133,302,168,134
