"地域","備蓄倉庫 設置箇所[か所]","備蓄倉庫 面積[平方メートル]","消火器設置本数[本]"
"芝","39","5050","358"
"麻布","24","1797","280"
"赤坂","21","1698","268"
"高輪","20","1609","347"
"芝浦港南","22","2899","185"
"合計","126","13053","1438"

"令和4年度港区行政資料集　備蓄倉庫・消火器設置状況","Ver202204",,
