"科目","金額[百万円]"
"年度","2018"
"決算日","20190331"
"資産の部 固定資産","3480753"
"資産の部 固定資産 有形固定資産","3356548"
"資産の部 固定資産 有形固定資産 事業用資産","649069"
"資産の部 固定資産 有形固定資産 事業用資産 土地","435916"
"資産の部 固定資産 有形固定資産 事業用資産 立木竹","38"
"資産の部 固定資産 有形固定資産 事業用資産 建物","345200"
"資産の部 固定資産 有形固定資産 事業用資産 建物減価償却累計額","-143342"
"資産の部 固定資産 有形固定資産 事業用資産 工作物","16803"
"資産の部 固定資産 有形固定資産 事業用資産 工作物減価償却累計額","-10298"
"資産の部 固定資産 有形固定資産 事業用資産 船舶","-"
"資産の部 固定資産 有形固定資産 事業用資産 船舶減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 その他","0"
"資産の部 固定資産 有形固定資産 事業用資産 その他減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 建設仮勘定","4753"
"資産の部 固定資産 有形固定資産 インフラ資産","2705976"
"資産の部 固定資産 有形固定資産 インフラ資産 土地","2615099"
"資産の部 固定資産 有形固定資産 インフラ資産 建物","1416"
"資産の部 固定資産 有形固定資産 インフラ資産 建物減価償却累計額","-691"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物","104183"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物減価償却累計額","-14031"
"資産の部 固定資産 有形固定資産 インフラ資産 その他","-"
"資産の部 固定資産 有形固定資産 インフラ資産 その他減価償却累計額","-"
"資産の部 固定資産 有形固定資産 インフラ資産 建設仮勘定","-"
"資産の部 固定資産 有形固定資産 物品","4005"
"資産の部 固定資産 有形固定資産 物品減価償却累計額","-2502"
"資産の部 固定資産 無形固定資産","2612"
"資産の部 固定資産 無形固定資産 ソフトウェア","2597"
"資産の部 固定資産 無形固定資産 その他","15"
"資産の部 固定資産 投資その他の資産","121593"
"資産の部 固定資産 投資その他の資産 投資及び出資金","406"
"資産の部 固定資産 投資その他の資産 投資及び出資金 有価証券","325"
"資産の部 固定資産 投資その他の資産 投資及び出資金 出資金","63"
"資産の部 固定資産 投資その他の資産 投資及び出資金 その他","17"
"資産の部 固定資産 投資その他の資産 長期延滞債権","3403"
"資産の部 固定資産 投資その他の資産 長期貸付金","607"
"資産の部 固定資産 投資その他の資産 基金","117958"
"資産の部 固定資産 投資その他の資産 基金 減債基金","-"
"資産の部 固定資産 投資その他の資産 基金 その他","117958"
"資産の部 固定資産 投資その他の資産 その他","0"
"資産の部 固定資産 投資その他の資産 徴収不能引当金","-781"
"資産の部 流動資産","73777"
"資産の部 流動資産 現金預金","20252"
"資産の部 流動資産 未収金","2666"
"資産の部 流動資産 短期貸付金","562"
"資産の部 流動資産 基金","49495"
"資産の部 流動資産 基金 財政調整基金","49495"
"資産の部 流動資産 基金 減債基金","-"
"資産の部 流動資産 棚卸資産","1"
"資産の部 流動資産 その他","823"
"資産の部 流動資産 徴収不能引当金","-22"
"資産の部 繰延資産","-"
"資産の部 資産合計","3554530"
"負債の部 固定負債","19522"
"負債の部 固定負債 地方債等","1992"
"負債の部 固定負債 長期未払金","3063"
"負債の部 固定負債 退職手当引当金","14435"
"負債の部 固定負債 損失補償等引当金","-"
"負債の部 固定負債 その他","32"
"負債の部 流動負債","9575"
"負債の部 流動負債 1年内償還予定地方債等","361"
"負債の部 流動負債 未払金","962"
"負債の部 流動負債 未払費用","0"
"負債の部 流動負債 前受金","0"
"負債の部 流動負債 前受収益","-"
"負債の部 流動負債 賞与等引当金","1029"
"負債の部 流動負債 預り金","7208"
"負債の部 流動負債 その他","15"
"負債の部 負債合計","29097"
"純資産の部 固定資産等形成分","3530810"
"純資産の部 余剰分（不足分）","-5379"
"純資産の部 他団体出資等分","2"
"純資産の部 純資産合計","3525433"
"負債及び純資産合計","3554530"

"連結会計財務書類（貸借対照表）(平成31年3月31日現在)","Ver201903"
