"所管","町丁目","総数","従業者規模 1～4人","従業者規模 5～9人","従業者規模 10～19人","従業者規模 20～29人","従業者規模 30～49人","従業者規模 50～99人","従業者規模 100～199人","従業者規模 200～299人","従業者規模 300人以上","従業者規模 出向・派遣従業者のみ"
"芝地区総合支所","芝１丁目","239","93","50","29","21","18","17","3","4","1","3"
"芝地区総合支所","芝２丁目","647","233","151","105","42","38","27","29","3","8","11"
"芝地区総合支所","芝３丁目","540","225","129","63","28","27","31","10","4","13","10"
"芝地区総合支所","芝４丁目","402","141","83","69","25","31","25","7","5","6","10"
"芝地区総合支所","芝５丁目","1058","422","240","187","71","52","38","22","7","13","6"
"芝地区総合支所","海岸１丁目","391","134","73","70","26","23","15","24","4","14","8"
"芝地区総合支所","東新橋１丁目","447","94","76","90","48","36","31","20","7","24","21"
"芝地区総合支所","東新橋２丁目","282","117","55","40","20","14","13","12","-","5","6"
"芝地区総合支所","新橋１丁目","460","167","128","75","32","25","11","7","3","3","9"
"芝地区総合支所","新橋２丁目","1162","561","292","184","46","32","25","8","2","4","8"
"芝地区総合支所","新橋３丁目","657","331","167","96","32","18","9","2","-","1","1"
"芝地区総合支所","新橋４丁目","461","250","90","68","17","14","10","8","1","1","2"
"芝地区総合支所","新橋５丁目","710","334","189","91","22","31","14","6","5","5","13"
"芝地区総合支所","新橋６丁目","429","210","87","49","21","17","14","12","2","8","9"
"芝地区総合支所","西新橋１丁目","1070","597","235","106","40","30","17","17","5","7","16"
"芝地区総合支所","西新橋２丁目","636","303","137","95","43","18","15","11","3","8","3"
"芝地区総合支所","西新橋３丁目","462","189","93","82","22","30","22","9","2","8","5"
"芝地区総合支所","三田１丁目","218","75","35","48","16","9","14","9","3","6","3"
"芝地区総合支所","三田２丁目","272","146","55","34","10","16","5","2","1","3","-"
"芝地区総合支所","三田３丁目","493","162","88","93","33","28","40","18","10","13","8"
"芝地区総合支所","浜松町１丁目","603","227","154","105","43","26","29","13","2","-","4"
"芝地区総合支所","浜松町２丁目","658","209","181","124","50","35","19","19","4","9","8"
"芝地区総合支所","芝大門１丁目","556","229","143","70","29","26","26","18","4","3","8"
"芝地区総合支所","芝大門２丁目","540","233","140","83","31","28","12","8","2","2","1"
"芝地区総合支所","芝公園１丁目","141","40","36","32","11","11","6","1","2","1","1"
"芝地区総合支所","芝公園２丁目","279","87","46","48","15","18","25","20","7","6","7"
"芝地区総合支所","芝公園３丁目","169","64","45","21","15","10","9","1","2","1","1"
"芝地区総合支所","芝公園４丁目","76","27","21","13","6","1","3","1","1","2","1"
"芝地区総合支所","虎ノ門１丁目","926","388","224","146","60","34","24","16","5","10","19"
"芝地区総合支所","虎ノ門２丁目","466","187","113","67","20","27","13","10","3","15","11"
"芝地区総合支所","虎ノ門３丁目","436","224","85","52","15","18","21","12","2","5","2"
"芝地区総合支所","虎ノ門４丁目","366","94","71","61","30","32","28","24","7","8","11"
"芝地区総合支所","虎ノ門５丁目","310","131","87","48","17","13","8","2","-","2","2"
"芝地区総合支所","愛宕１丁目","80","40","16","11","6","3","3","-","-","-","1"
"芝地区総合支所","愛宕２丁目","69","17","18","13","7","5","3","2","-","3","1"
"麻布地区総合支所","麻布狸穴町","4","1","1","1","-","-","-","-","-","-","1"
"麻布地区総合支所","麻布永坂町","22","6","9","2","3","-","-","-","-","-","2"
"麻布地区総合支所","南麻布１丁目","145","66","39","17","7","7","3","2","1","-","3"
"麻布地区総合支所","南麻布２丁目","145","62","34","25","8","4","5","5","2","-","-"
"麻布地区総合支所","南麻布３丁目","84","42","20","9","1","4","4","1","2","1","-"
"麻布地区総合支所","南麻布４丁目","194","108","41","17","8","10","4","3","-","-","3"
"麻布地区総合支所","南麻布５丁目","208","89","53","34","10","10","5","4","-","1","2"
"麻布地区総合支所","元麻布１丁目","53","37","11","3","-","-","-","1","-","-","1"
"麻布地区総合支所","元麻布２丁目","55","38","4","5","1","2","4","-","-","-","1"
"麻布地区総合支所","元麻布３丁目","126","68","26","14","9","6","1","2","-","-","-"
"麻布地区総合支所","西麻布１丁目","297","158","77","32","12","10","4","2","1","-","1"
"麻布地区総合支所","西麻布２丁目","219","115","50","28","9","4","4","3","2","2","2"
"麻布地区総合支所","西麻布３丁目","267","130","66","41","13","8","6","1","1","1","-"
"麻布地区総合支所","西麻布４丁目","259","139","77","26","3","6","3","2","-","2","1"
"麻布地区総合支所","六本木１丁目","254","69","44","52","30","15","13","11","5","10","5"
"麻布地区総合支所","六本木２丁目","74","35","16","11","4","3","1","2","-","1","1"
"麻布地区総合支所","六本木３丁目","533","250","138","79","26","24","7","6","1","1","1"
"麻布地区総合支所","六本木４丁目","314","167","75","43","10","12","5","2","-","-","-"
"麻布地区総合支所","六本木５丁目","279","112","66","47","17","14","10","2","3","1","7"
"麻布地区総合支所","六本木６丁目","532","159","145","96","36","40","26","10","2","14","4"
"麻布地区総合支所","六本木７丁目","571","257","150","95","32","14","12","3","2","1","5"
"麻布地区総合支所","麻布台１丁目","175","76","45","30","8","7","5","1","-","2","1"
"麻布地区総合支所","麻布台２丁目","76","24","16","13","4","6","10","1","1","-","1"
"麻布地区総合支所","麻布台３丁目","74","42","14","8","6","2","1","-","1","-","-"
"麻布地区総合支所","麻布十番１丁目","266","130","58","46","16","9","4","1","-","1","1"
"麻布地区総合支所","麻布十番２丁目","315","150","97","45","10","9","2","1","-","-","1"
"麻布地区総合支所","麻布十番３丁目","90","35","28","16","6","4","1","-","-","-","-"
"麻布地区総合支所","麻布十番４丁目","26","10","8","4","2","-","1","-","-","-","1"
"麻布地区総合支所","東麻布１丁目","227","111","59","32","9","9","3","3","-","-","1"
"麻布地区総合支所","東麻布２丁目","176","96","35","22","8","5","5","3","2","-","-"
"麻布地区総合支所","東麻布３丁目","135","69","36","18","4","5","2","1","-","-","-"
"赤坂地区総合支所","元赤坂１丁目","320","144","67","43","11","21","8","8","3","8","7"
"赤坂地区総合支所","元赤坂２丁目","11","2","1","1","-","2","2","2","-","1","-"
"赤坂地区総合支所","赤坂１丁目","557","204","128","98","40","32","19","14","4","11","7"
"赤坂地区総合支所","赤坂２丁目","922","397","224","140","47","29","36","20","8","9","12"
"赤坂地区総合支所","赤坂３丁目","821","334","224","142","54","30","14","12","2","2","7"
"赤坂地区総合支所","赤坂４丁目","469","222","102","61","22","19","25","7","3","6","2"
"赤坂地区総合支所","赤坂５丁目","328","113","72","49","25","18","13","9","3","15","11"
"赤坂地区総合支所","赤坂６丁目","391","198","80","48","14","12","15","9","1","6","8"
"赤坂地区総合支所","赤坂７丁目","458","260","92","47","15","21","15","2","2","1","3"
"赤坂地区総合支所","赤坂８丁目","232","100","47","33","15","9","7","10","1","7","3"
"赤坂地区総合支所","赤坂９丁目","376","172","78","56","23","19","9","6","-","7","6"
"赤坂地区総合支所","南青山１丁目","396","172","84","61","14","28","18","10","3","3","3"
"赤坂地区総合支所","南青山２丁目","871","497","189","101","23","23","17","4","5","7","5"
"赤坂地区総合支所","南青山３丁目","498","225","142","60","35","14","10","-","3","5","4"
"赤坂地区総合支所","南青山４丁目","265","147","61","36","13","3","4","-","-","-","1"
"赤坂地区総合支所","南青山５丁目","905","411","246","131","49","32","19","5","1","3","8"
"赤坂地区総合支所","南青山６丁目","329","177","78","43","9","11","5","-","1","1","4"
"赤坂地区総合支所","南青山７丁目","119","52","36","13","5","7","5","1","-","-","-"
"赤坂地区総合支所","北青山１丁目","167","66","43","27","8","6","8","6","-","2","1"
"赤坂地区総合支所","北青山２丁目","345","126","82","59","23","26","10","11","2","3","3"
"赤坂地区総合支所","北青山３丁目","613","254","160","101","29","34","19","7","3","4","2"
"高輪地区総合支所","三田４丁目","171","104","27","13","6","10","8","1","1","-","1"
"高輪地区総合支所","三田５丁目","159","98","28","18","6","3","4","1","-","-","1"
"高輪地区総合支所","高輪１丁目","298","197","51","29","7","9","1","1","1","-","2"
"高輪地区総合支所","高輪２丁目","444","221","90","56","20","20","15","9","4","4","5"
"高輪地区総合支所","高輪３丁目","599","216","148","105","47","34","20","11","4","6","8"
"高輪地区総合支所","高輪４丁目","428","231","85","47","17","15","17","5","2","3","6"
"高輪地区総合支所","白金１丁目","306","188","53","30","16","7","3","2","2","4","1"
"高輪地区総合支所","白金２丁目","45","25","13","2","1","2","-","2","-","-","-"
"高輪地区総合支所","白金３丁目","162","101","34","19","2","5","-","1","-","-","-"
"高輪地区総合支所","白金４丁目","47","30","10","3","2","-","1","-","-","-","1"
"高輪地区総合支所","白金５丁目","91","49","21","9","2","3","4","-","2","1","-"
"高輪地区総合支所","白金６丁目","110","76","23","6","3","-","1","-","-","-","1"
"高輪地区総合支所","白金台１丁目","72","23","17","13","4","3","6","3","1","2","-"
"高輪地区総合支所","白金台２丁目","122","70","20","17","6","5","3","-","-","-","1"
"高輪地区総合支所","白金台３丁目","191","108","37","18","13","9","4","2","-","-","-"
"高輪地区総合支所","白金台４丁目","109","47","31","17","7","2","2","-","1","2","-"
"高輪地区総合支所","白金台５丁目","244","155","51","21","2","7","4","3","-","-","1"
"芝浦港南地区総合支所","芝浦１丁目","284","69","71","58","13","13","17","10","5","20","8"
"芝浦港南地区総合支所","芝浦２丁目","173","66","31","30","9","15","13","6","1","1","1"
"芝浦港南地区総合支所","芝浦３丁目","428","133","106","79","43","20","18","9","5","7","8"
"芝浦港南地区総合支所","芝浦４丁目","427","117","67","64","37","41","38","25","17","15","6"
"芝浦港南地区総合支所","海岸２丁目","85","29","14","12","11","6","6","3","-","2","2"
"芝浦港南地区総合支所","海岸３丁目","330","81","72","54","27","36","30","17","1","6","6"
"芝浦港南地区総合支所","港南１丁目","177","33","28","28","18","11","20","13","9","14","3"
"芝浦港南地区総合支所","港南２丁目","931","177","193","185","116","84","61","52","10","39","14"
"芝浦港南地区総合支所","港南３丁目","87","35","14","13","6","2","9","6","1","-","1"
"芝浦港南地区総合支所","港南４丁目","139","46","33","18","9","12","8","3","1","3","6"
"芝浦港南地区総合支所","港南５丁目","93","26","12","19","9","13","11","-","1","1","1"
"芝浦港南地区総合支所","台場１丁目","188","51","52","43","27","9","3","-","1","1","1"
"芝浦港南地区総合支所","台場２丁目","134","26","19","31","9","12","10","8","3","11","5"
"その他",,"2","1","-","-","-","-","-","-","-","1","-"

"町丁目、従業者規模（１０区分）別事業所数","Ver201801","資料:平成26年経済センサス-基礎調査報告(東京都総務局)を加工して作成。",,,,,,,,,,
