"コンテスト名称","応募形態 アイデア[件数]","応募形態 アプリ[件数]","応募分野 子育て支援[件数]","応募分野 教育支援[件数]","応募分野 福祉支援[件数]","応募分野 防災支援[件数]","応募分野 環境支援[件数]","応募分野 観光支援[件数]"
"港区政70周年「港区オープンデータアプリコンテスト」",27,7,14,3,7,9,4,13

"アプリコンテスト 応募作品統計","Ver201703",,,,,,,
