区分,建築物エネルギー消費性能適合判定手数料（面積は当該床面積の合計）(円)
非住宅の用途が「工場等のみ」の場合／300m2以上2000m2未満のもの,27100
非住宅の用途が「工場等のみ」の場合／2000m2以上5000m2未満のもの,80400
非住宅の用途が「工場等のみ」の場合／5000m2以上10000m2未満のもの,128000
非住宅の用途が「工場等のみ」の場合／10000m2以上25000m2未満のもの,161000
非住宅の用途が「工場等のみ」の場合／25000m2以上のもの,201000
「工場等のみ」以外の非住宅の場合／モデル建物法／300m2以上2000m2未満のもの,145700
「工場等のみ」以外の非住宅の場合／モデル建物法／2000m2以上5000m2未満のもの,235700
「工場等のみ」以外の非住宅の場合／モデル建物法／5000m2以上10000m2未満のもの,309000
「工場等のみ」以外の非住宅の場合／モデル建物法／10000m2以上25000m2未満のもの,371000
「工場等のみ」以外の非住宅の場合／モデル建物法／25000m2以上のもの,435000
「工場等のみ」以外の非住宅の場合／標準入力法等／300m2以上2000m2未満のもの,367100
「工場等のみ」以外の非住宅の場合／標準入力法等／2000m2以上5000m2未満のもの,523700
「工場等のみ」以外の非住宅の場合／標準入力法等／5000m2以上10000m2未満のもの,646000
「工場等のみ」以外の非住宅の場合／標準入力法等／10000m2以上25000m2未満のもの,763000
「工場等のみ」以外の非住宅の場合／標準入力法等／25000m2以上のもの,871000
