主なご意見,主なご意見の概要,ご意見に対する考え方
樹林地や農地の保全について（８件）,みどりのネットワークに寄与する樹林地等について、既存の緑地の具体的な保全策が必要。また相続による緑地の喪失などに対し、有効な対策を示すこと。,屋敷林など貴重な都市の樹林の保全については、区市町村と連携を図り様々な緑地保全の制度の活用等を図り、保全策を講じてきています。
生産緑地について（１０件）,農地は貴重なオープンスペース。相続税の納税のために失われる農地の保全策を講じることなど。,農業従事者の意向を考慮しながら、生産緑地の保全を図るとともに、公園緑地の不足している地域等については、生産緑地の一部を「都市計画公園」として計画決定していくなど、「みどり」の量の確保に努めていきます。
多摩のみどりの保全・活用について（５件）,多摩地区は公園でなく自然が主役である。里山、雑木林の保護を図る。また奥多摩の生活と観光や登山など、奥多摩の魅力をもっと知ってもらう。,多摩の豊かな自然環境は、東京圏全体の環境を支える重要な自然です。この自然を活かした東京圏のレクリエーションゾーンの形成に取組んでいきます。
個別緑地の保全について（７件）,東大農場跡地を保全などの意見・要望。,東大農場は、移転の方針が示されていますが、これまでの経緯等を踏まえ、そのあり方を総合的に検討していきます。
