区分,面積(ha),割合(%)
都市計画公園・緑地計画決定面積,10600,100
都市計画公園・緑地計画決定面積／供用,4400,42
都市計画公園・緑地計画決定面積／未供用,6200,58
都市計画公園・緑地計画決定面積／未供用／整備を要しない区域＊,3600,34
都市計画公園・緑地計画決定面積／未供用／事業化計画検討対象,2600,24
