主なご意見,主なご意見の概要,ご意見に対する考え方
東京のみどりづくりについて（１０件）,東京のみどりづくりには新しい発想をもって立ち向かう。またみどりづくりの利益は、水と資源エネルギーの保全が達成され、東京都の経済利益、環境利益、社会利益が増すこと。,都市のみどりには、環境保全、レクリエーション等、重要な役割がありますが、社会、経済利益等があることも重要です。このような側面からのみどりの効用についても勘案し、都民の理解と支援を得ながら施策展開を図るよう検討していきます。
東京のみどりづくりについて（１０件）／【みどりの保全】,みどりは育て守るものであり、最も大切なことは「継続」及び「保全」である。このため既存の緑を守ることの重要性や必要性に触れ、都民の緑に対する認識を高めるような方向を示すことが必要。,現存するみどりを保全して有効活用することは、新たなみどりの創出と同様に重要な課題です。ガイドラインではみどりの保全に関し、その重要性等について示していきます。
