区分,都全体(ha)
みどりづくりの必要量,4100
みどりづくりの必要量／公園・緑地等の整備によるもの,1400
みどりづくりの必要量／公園・緑地等の整備によるもの／区部,500
みどりづくりの必要量／公園・緑地等の整備によるもの／多摩部,900
みどりづくりの必要量／道路等の緑化によるもの,300
みどりづくりの必要量／道路等の緑化によるもの／区部,200
みどりづくりの必要量／道路等の緑化によるもの／多摩部,100
みどりづくりの必要量／公共施設の緑化など,300
みどりづくりの必要量／民間が取組むみどりづくりなど,2100
