区分,文化財の区分,名称（現在の表記）,文化財指定名称,告示面積（現在の表記）(m2),文化財指定面積(m2),所在地
1,特別名勝,六義園,六義園,87809.41,89305.25,文京区本駒込六丁目
2,旧跡・史跡（都）,井の頭恩賜公園,井の頭池（神田上水水源地）／井の頭池遺跡群,363772.99,54815.42,武蔵野市御殿山一丁目、吉祥寺南町一丁目／三鷹市井の頭三・四・五丁目／下連雀一丁目、牟礼四丁目
3,名勝・史跡,向島百花園,向島百花園,10885.88,10047.74,墨田区向島三丁目
4,名勝（都）,旧安田庭園,旧安田庭園,10882.39,10882.39,墨田区横網一丁目
5,特別名勝特別史跡,旧浜離宮庭園,旧浜離宮庭園,250165.81,324497.74,中央区浜離宮庭園
6,名勝,旧芝離宮庭園,旧芝離宮庭園,43175.36,43406.74,港区海岸一丁目
7,史跡,台場公園,品川台場,48575.56,46061.4／及び各台場の周囲30間以内の海面,港区台場一丁目
8,特別史跡特別名勝,小石川後楽園,小石川後楽園,70847.17,68856.19,文京区後楽一丁目
9,重要文化財（建造物）,旧岩崎邸庭園,旧岩崎家住宅,17079.03,18245.56,台東区池之端一丁目
10,名勝（都）,清澄庭園,清澄庭園,46439.33,37434.32,台東区池之端一丁目
11,名勝,旧古河庭園,旧古河氏庭園,30780.86,30780.86,北区西ヶ原一丁目
12,名勝,殿ヶ谷戸庭園,殿ヶ谷戸庭園（随?園）,21123.59,17701.89,国分寺市南町二丁目
