地区名,施行地区（告示日現在による表示）,施行面積(ha),事業告示年月日
瑞江駅西部地区,江戸川区西瑞江二丁目及び東瑞江二丁目の各一部,30.4,1994-07-11
六町地区,足立区六町一～三丁目及び六町四丁目、西加平一丁目・二丁目及び南花畑一丁目の各一部,69,1998-03-30
豊洲地区,江東区豊洲二丁目・五丁目の各一部及び豊洲六丁目の全部,91.1,1997-11-17
有明北地区,江東区有明一丁目の全部、有明二丁目及び東雲二丁目の一部,85.2,1999-03-25
