番号,地区名
八王子都市計画／八(5),中野東地区
八王子都市計画／八(6),中野西第二地区
八王子都市計画／八(7),片倉北地区
八王子都市計画／八(8),北野西地区
八王子都市計画／八(9),甲州街道沿道地区
八王子都市計画／八(10)※,甲州街道北側地区
立川都市計画／立(1),西立川駅周辺地区
立川都市計画／立(2),高松大通り周辺地区
立川都市計画／立(4),富士見町二丁目周辺地区
立川都市計画／立(5),東大和市駅周辺地区
立川都市計画／立(6),核都市整備エリア
立川都市計画／立(7),大規模工場跡地地区
立川都市計画／立(8)※,西国立駅西側地区
立川都市計画／立(9)※,立川基地跡地昭島地区
立川都市計画／立(10)※,緑が丘地区
武蔵野都市計画／武(1),吉祥寺駅周辺第一地区
武蔵野都市計画／武(2),吉祥寺駅周辺第二地区
武蔵野都市計画／武(3),吉祥寺駅周辺第三地区
武蔵野都市計画／武(4),三鷹駅周辺地区
武蔵野都市計画／武(5),西久保(2)･(3)丁目地区
武蔵野都市計画／武(6),武蔵境駅周辺地区
三鷹都市計画／三(1),三鷹駅周辺地区
三鷹都市計画／三(2),井の頭公園駅周辺地区
三鷹都市計画／三(3),三鷹台駅前周辺地区
三鷹都市計画／三(4),新川交差点周辺地区
三鷹都市計画／三(5),野崎東八道路沿い周辺地区
三鷹都市計画／三(6),調布基地跡地地区
府中都市計画／府(1),調布基地跡地地区
府中都市計画／府(2),府中基地跡地地区
府中都市計画／府(3),多磨駅周辺地区
府中都市計画／府(4),東府中駅等周辺地区
府中都市計画／府(5),府中駅周辺地区
府中都市計画／府(7),府中本町駅周辺地区
府中都市計画／府(8),是政・小柳町地区
府中都市計画／府(9),是政駅周辺地区
府中都市計画／府(10),西府町地区
府中都市計画／府(11),四谷・日新町地区
府中都市計画／府(12)※,日鋼団地地区
調布都市計画／調(1),国領駅地区
調布都市計画／調(2),仙川町・若葉町地区
調布都市計画／調(4),調布基地跡地地区
調布都市計画／調(5),京王多摩川駅周辺地区
調布都市計画／調(7),下石原・小島町地区
調布都市計画／調(9)※,国領町八丁目周辺地区
青梅都市計画／青(1),青梅駅周辺地区
青梅都市計画／青(2),東青梅駅周辺地区
町田都市計画／町(1),町田駅周辺地区
町田都市計画／町(2),金森・高ヶ坂地区
町田都市計画／町(3)※,鶴川駅周辺地区
小金井都市計画／金(1),武蔵小金井駅北口周辺地区
小金井都市計画／金(2),武蔵小金井駅南口周辺地区
小金井都市計画／金(3),東小金井駅北口周辺地区
小金井都市計画／金(4),東小金井駅南口周辺地区
小金井都市計画／金(5),新小金井駅周辺地区
日野都市計画／日(1),日野駅周辺地区
日野都市計画／日(2),高幡不動駅周辺地区
小平都市計画／平(1),花小金井駅北口周辺
小平都市計画／平(2),花小金井駅南口周辺
小平都市計画／平(3),小川町一丁目
小平都市計画／平(4)※,小川西町五丁目地区
小平都市計画／平(5)※,小川東町二丁目地区
国分寺都市計画／分(1),国分寺駅周辺地区
国分寺都市計画／分(3),西国分寺駅北口地区
東村山都市計画／東(1),秋津駅南口
東村山都市計画／東(2)※,東久留米駅北口地区
東村山都市計画／東(3)※,上の原地区
西東京都市計画／西(1),ひばりヶ丘駅北口地区
西東京都市計画／西(2),ひばりが丘地区
