路線名,区間,延長(m),事業告示年月日
補助第29号線,品川区戸越五丁目～豊町六丁目,460,2015-02-06
補助第46号線,目黒区目黒本町五丁目,510,2009-09-02
補助第46号線,目黒区目黒本町五丁目～洗足一丁目,550,2015-02-06
補助第120号線,墨田区墨田三丁目～東向島五丁目,370,2005-11-28
補助第120号線,墨田区墨田二丁目～墨田三丁目,530,2014-03-24
