建設地・所在地,所管行政庁,お問合せ先
昭島市、東大和市、武蔵村山市、国立市、狛江市、多摩市、稲城市,東京都多摩建築指導事務所建築指導第一課設備担当,042-548-2063（直通）
小金井市、小平市、東村山市、東久留米市、清瀬市,東京都多摩建築指導事務所建築指導第二課設備担当,042-464-1015（直通）
青梅市、羽村市、瑞穂町、奥多摩町、福生市、あきる野市、日の出町、檜原村,東京都多摩建築指導事務所建築指導第三課設備担当,0428-23-3793（直通）
八王子市,八王子市まちなみ整備部建築審査課,042-626-3111（代表）
立川市,立川市まちづくり部建築指導課,042-523-2111（代表）
武蔵野市,武蔵野市都市整備部建築指導課,0422-51-5131（代表）
三鷹市,三鷹市都市整備部建築指導課,0422-45-1151（代表）
府中市,府中市都市整備部建築指導課,042-364-4111（代表）
調布市,調布市都市整備部建築指導課,042-481-7111（代表）
町田市,町田市都市づくり部建築開発審査課,042-722-3111（代表）
日野市,日野市まちづくり部建築指導課,042-585-1111（代表）
国分寺市,国分寺市まちづくり部建築指導課,042-325-0111（代表）
西東京市,西東京市都市整備部建築指導課,042-464-1311（代表）
