みどりの拠点／区部,代々木公園、上野恩賜公園、水元公園、明治神宮内苑・外苑、新宿御苑、など
みどりの拠点／多摩部,野山北・六道山公園、小金井公園など
みどりの軸／区部,放射３６号線、青山通り、表参道、荒川、江戸川など
みどりの軸／多摩部,甲州街道、調布保谷線＊、多摩川、国分寺崖線など
