地下街名,所在地,経営主体,開設日年月日,階層,延床面積(m2)
八重洲地下街,中央区八重洲2,八重洲地下街(株),1965-06-01,地下3層,69203
歌舞伎町地下街(サブナード),新宿区歌舞伎町1,新宿地下駐車場(株),1973-09-15,地下2層,38344
新宿駅西口地下街(小田急エース),新宿区西新宿1,(株)小田急ビルサービス,1966-11-25,地下3層,29650
新宿駅東口地下街(ルミネエスト),新宿区新宿3,(株)ルミネ,1964-05-20,地下3層,18358
京王新宿名店街(京王モール),新宿区西新宿1,京王地下駐車場(株),1976-03-10,地下6層,17086
池袋東口地下街(I.S.P),豊島区東池袋1,(株)池袋ショッピングパーク,1964-09-02,地下3層,15435
池袋西口地下街(東武ホープセンター),豊島区西池袋1,池袋西口駐車場(株),1969-04-02,地下3層,14709
新橋駅東口地下街(しんちか),港区新橋2,京急新橋地下駐車場(株),1972-06-01,地下4層,11703
渋谷地下街,渋谷区渋谷2,渋谷地下街(株),1957-12-01,地下1層,4676
大規模地下街合計,,,,,219164
