区分,建築物エネルギー消費性能適合判定（計画変更）手数料（面積は当該床面積の合計）(円)
非住宅の用途が「工場等のみ」の場合／300m2以上2000m2未満のもの,19100
非住宅の用途が「工場等のみ」の場合／2000m2以上5000m2未満のもの,56400
非住宅の用途が「工場等のみ」の場合／5000m2以上10000m2未満のもの,90000
非住宅の用途が「工場等のみ」の場合／10000m2以上25000m2未満のもの,113000
非住宅の用途が「工場等のみ」の場合／25000m2以上のもの,141000
「工場等のみ」以外の非住宅の場合／モデル建物法／300m2以上2000m2未満のもの,102100
「工場等のみ」以外の非住宅の場合／モデル建物法／2000m2以上5000m2未満のもの,165100
「工場等のみ」以外の非住宅の場合／モデル建物法／5000m2以上10000m2未満のもの,216000
「工場等のみ」以外の非住宅の場合／モデル建物法／10000m2以上25000m2未満のもの,260000
「工場等のみ」以外の非住宅の場合／モデル建物法／25000m2以上のもの,305000
「工場等のみ」以外の非住宅の場合／標準入力法等／300m2以上2000m2未満のもの,257100
「工場等のみ」以外の非住宅の場合／標準入力法等／2000m2以上5000m2未満のもの,366700
「工場等のみ」以外の非住宅の場合／標準入力法等／5000m2以上10000m2未満のもの,453000
「工場等のみ」以外の非住宅の場合／標準入力法等／10000m2以上25000m2未満のもの,535000
「工場等のみ」以外の非住宅の場合／標準入力法等／25000m2以上のもの,610000
