都市計画の名称,地域名
八王子,八王子地域
立川,立川地域武蔵村山市中央部地域東大和市南部地域、東大和市西部地域大規模工場跡地地域
武蔵野,東部地域、中央地域、西部地域
三鷹,三鷹東部地域、三鷹中央地域、三鷹西部地域
府中,東部地域、中央地域、南部地域、西部地域、西南部地域
調布,調布中央地域、調布東部地域、調布西部地域、調布北部地域
青梅,青梅市中央地域
町田,町田中央地域、鶴川地域
小金井,小金井地域
日野,日野地域
小平,小平地域
国分寺,国分寺東部地域、国分寺中央地域、国分寺西部地域
東村山,東村山地域東久留米地域
西東京,北東部地域、南東部地域、北西部地域、南西部地域
