主なご意見,主なご意見の概要,ご意見に対する考え方
みどりづくりの仕組について（9件）,屋上緑化や壁面緑化、生垣づくりに優遇税制を導入して誘導する。また個人宅で庭づくりをしたい人に対し、建ぺい率や容積率を緩和する。,敷地の緑化促進のため、様々な法制度に基づき、敷地の緑化指導や税制の優遇措置などを行なっています。今後「みどりの計画書」作成など、新たなみどりづくり制度の確立を図り、民有地におけるより良いみどりづくりに努めます。
みどりづくりの人材育成について（４件）,東京のみどりづくりにはみどり専門家の存在が必要など,今後は、公共はもとより民間においても、広い視野に立ち、環境技術を身につけた人材の育成について検討していきます。
