,,,,（単位：隻、総トン）
国籍別,合計,,うちコンテナ船　*,
,隻数,総トン数,隻数,総トン数
合      計,"5,355","130,776,662","5,015","125,651,243"
日本船,27,"2,295,644",25,"2,250,700"
外国船計,"5,328","128,481,018","4,990","123,400,543"
アジア,"2,658","49,386,142","2,620","49,076,432"
中国,"1,367","23,833,768","1,357","23,709,650"
（香港）,"1,219","21,193,327","1,212","21,085,090"
シンガポール,646,"16,589,453",641,"16,479,833"
韓国,381,"3,501,999",361,"3,438,394"
キプロス,174,"3,233,997",174,"3,233,997"
台湾,37,"838,400",36,"837,189"
フィリピン,26,"755,560",26,"755,560"
タイ,25,"621,809",25,"621,809"
マレーシア,1,"5,604",-,-
ベトナム,1,"5,552",-,-
ヨーロッパ,278,"9,420,671",258,"8,610,579"
マルタ,138,"2,926,659",136,"2,862,294"
ポルトガル,53,"2,146,848",53,"2,146,848"
ドイツ,31,"2,002,092",31,"2,002,092"
イギリス,28,"910,465",28,"910,465"
イタリア,20,"1,293,364",10,"688,880"
ノルウェー,4,"125,584",-,-
ロシア,4,"15,659",-,-
北アメリカ,"1,349","46,968,964","1,121","43,772,415"
パナマ,964,"36,091,918",872,"34,095,040"
バハマ,193,"3,579,490",165,"3,217,601"
蘭領アンティル,85,"783,090",2,"37,862"
モントセラト,82,"6,421,912",82,"6,421,912"
ベリーズ,22,"80,884",-,-
カナダ,2,"9,870",-,-
メキシコ,1,"1,800",-,-
南アメリカ,287,"2,796,646",285,"2,777,424"
アンティグア･バーブーダ,287,"2,796,646",285,"2,777,424"
アフリカ,501,"13,643,595",474,"13,409,601"
リベリア,482,"13,581,072",474,"13,409,601"
トーゴ,11,"27,425",-,-
シエラレオネ,8,"35,098",-,-
オセアニア,255,"6,265,000",232,"5,754,092"
マーシャル諸島,246,"6,186,755",232,"5,754,092"
バヌアツ,3,"56,819",-,-
キリバス,3,"13,557",-,-
ニュージーランド,1,"3,600",-,-
ニウエ,1,"2,994",-,-
ミクロネシア連邦,1,"1,275",-,-
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
