平成25年(2013年),,,,,,,,(単位：隻、総トン）
国籍,隻数,総トン数,国籍,隻数,総トン数,国籍,隻数,総トン数
パナマ,"1,573","43,449,006",マーシャル諸島,93,"2,981,670",ベトナム,9,"187,983"
中国,"1,154","17,864,241",蘭領アンティル,83,"745,274",日本,9,"48,427"
(香港),"1,092","17,428,520",マルタ,56,"1,506,170",ギリシャ,8,"406,411"
シンガポール,524,"13,221,371",イギリス,48,"1,592,290",バミューダ,7,"376,731"
リベリア,482,"12,378,314",ベリーズ,44,"87,600",オランダ,7,"69,958"
アンティグア・バーブーダ,372,"4,089,463",フィリピン,38,"1,505,208",ノルウェー,6,"161,574"
韓国,264,"2,265,680",台湾,37,"595,179",スイス,5,"138,895"
バハマ,185,"4,492,151",セントビンセント,19,"94,184",キリバス,3,"17,826"
キプロス,179,"2,234,530",イタリア,17,"1,046,284",コロンビア,3,"4,192"
カンボジア,167,"253,796",トーゴ,14,"22,459",ジブラルタル,2,"54,348"
モントセラト,153,"5,489,187",タイ,13,"171,444",その他,12,"64,709"
ドイツ,133,"7,707,829",シエラレオネ,12,"19,325",合計,"5,731","125,343,709"
