,,,,,,,,,,,,,,(単位：隻、総トン),
,,係留施設別,合計,,,,外航,,,,内航,,,,
,,,隻 数,構成比,総トン数,構成比,隻 数,構成比,総トン数,構成比,隻 数,構成比,総トン数,構成比,
合計,,,"23,604",100.0%,"174,745,700",100.0%,"5,355",100.0%,"130,776,662",100.0%,"18,249",100.0%,"43,969,038",100.0%,
ドルフィン,,,39,0.2%,"25,509",0.0%,-,-,-,-,39,0.2%,"25,509",0.1%,
芝浦,,,772,3.3%,"1,184,583",0.7%,-,-,-,-,772,4.2%,"1,184,583",2.7%,
,,芝浦ふ頭,465,2.0%,"1,063,247",0.6%,-,-,-,-,465,2.5%,"1,063,247",2.4%,
,,芝浦物揚場,307,1.3%,"121,336",0.1%,-,-,-,-,307,1.7%,"121,336",0.3%,
日の出,,,100,0.4%,"67,045",0.0%,-,-,-,-,100,0.5%,"67,045",0.2%,
,,日の出ふ頭,100,0.4%,"67,045",0.0%,-,-,-,-,100,0.5%,"67,045",0.2%,
竹芝,,,"1,929",8.2%,"4,268,108",2.4%,-,-,-,-,"1,929",10.6%,"4,268,108",9.7%,
,,竹芝ふ頭,"1,929",8.2%,"4,268,108",2.4%,-,-,-,-,"1,929",10.6%,"4,268,108",9.7%,
品川,,,"1,708",7.2%,"18,132,361",10.4%,906,16.9%,"8,748,124",6.7%,802,4.4%,"9,384,237",21.3%,
,品川岸壁,,"1,708",7.2%,"18,132,361",10.4%,906,16.9%,"8,748,124",6.7%,802,4.4%,"9,384,237",21.3%,
,,品川コンテナ,934,4.0%,"8,547,961",4.9%,883,16.5%,"8,496,264",6.5%,51,0.3%,"51,697",0.1%,
,,品川外貿,23,0.1%,"251,860",0.1%,23,0.4%,"251,860",0.2%,-,-,-,-,
,,品川内貿,751,3.2%,"9,332,540",5.3%,-,-,-,-,751,4.1%,"9,332,540",21.2%,
晴海,,,108,0.5%,"1,616,892",0.9%,21,0.4%,"875,600",0.7%,87,0.5%,"741,292",1.7%,
,,晴海ふ頭,91,0.4%,"1,573,373",0.9%,21,0.4%,"875,600",0.7%,70,0.4%,"697,773",1.6%,
,,官公庁（晴海）,17,0.1%,"43,519",0.0%,-,-,-,-,17,0.1%,"43,519",0.1%,
月島,,,133,0.6%,"66,759",0.0%,1,0.0%,"1,211",0.0%,132,0.7%,"65,548",0.1%,
,,月島ふ頭,45,0.2%,"15,388",0.0%,-,-,-,-,45,0.2%,"15,388",0.0%,
,,漁業基地,28,0.1%,"39,481",0.0%,1,0.0%,"1,211",0.0%,27,0.1%,"38,270",0.1%,
,,官公庁（月島）,60,0.3%,"11,890",0.0%,-,-,-,-,60,0.3%,"11,890",0.0%,
10号地その2,,,"1,513",6.4%,"12,242,820",7.0%,-,-,-,-,"1,513",8.3%,"12,242,820",27.8%,
,,10号西岸壁,759,3.2%,"7,622,489",4.4%,-,-,-,-,759,4.2%,"7,622,489",17.3%,
,,10号東岸壁,402,1.7%,"172,459",0.1%,-,-,-,-,402,2.2%,"172,459",0.4%,
,,東京港フェリーふ頭,352,1.5%,"4,447,872",2.5%,-,-,-,-,352,1.9%,"4,447,872",10.1%,
10号地その1,,,22,0.1%,"41,431",0.0%,-,-,-,-,22,0.1%,"41,431",0.1%,
,,多目的ふ頭,22,0.1%,"41,431",0.0%,-,-,-,-,22,0.1%,"41,431",0.1%,
辰巳,,,979,4.1%,"344,824",0.2%,-,-,-,-,979,5.4%,"344,824",0.8%,
,,辰巳ふ頭,979,4.1%,"344,824",0.2%,-,-,-,-,979,5.4%,"344,824",0.8%,
13号地その2,,,"2,573",10.9%,"42,593,015",24.4%,"1,937",36.2%,"41,655,025",31.9%,636,3.5%,"937,990",2.1%,
,,青海コンテナふ頭（公共）,"1,419",6.0%,"15,560,794",8.9%,981,18.3%,"15,241,614",11.7%,438,2.4%,"319,180",0.7%,
,,青海コンテナふ頭(埠頭㈱),896,3.8%,"24,536,848",14.0%,811,15.1%,"24,448,175",18.7%,85,0.5%,"88,673",0.2%,
,,お台場ライナーふ頭,258,1.1%,"2,495,373",1.4%,145,2.7%,"1,965,236",1.5%,113,0.6%,"530,137",1.2%,
13号地その1,,,74,0.3%,"88,366",0.1%,-,-,-,-,74,0.4%,"88,366",0.2%,
,,有明ふ頭,61,0.3%,"55,291",0.0%,-,-,-,-,61,0.3%,"55,291",0.1%,
,,官公庁（有明）,13,0.1%,"33,075",0.0%,-,-,-,-,13,0.1%,"33,075",0.1%,
大井,,,"3,351",14.2%,"77,725,015",44.5%,"2,238",41.8%,"76,653,423",58.6%,"1,113",6.1%,"1,071,592",2.4%,
,,大井コンテナふ頭,"3,055",12.9%,"75,728,676",43.3%,"2,085",38.9%,"74,688,367",57.1%,970,5.3%,"1,040,309",2.4%,
,,大井水産物ふ頭,7,0.0%,"16,804",0.0%,4,0.1%,"15,659",0.0%,3,0.0%,"1,145",0.0%,
,,大井食品ふ頭（OL）,180,0.8%,"1,034,925",0.6%,42,0.8%,"1,005,739",0.8%,138,0.8%,"29,186",0.1%,
,,大井食品ふ頭（OM）,103,0.4%,"900,088",0.5%,103,1.9%,"900,088",0.7%,-,-,-,-,
,,大井食品ふ頭（ON）,6,0.0%,"44,522",0.0%,4,0.1%,"43,570",0.0%,2,0.0%,952,0.0%,
若洲,,,559,2.4%,"2,151,500",1.2%,15,0.3%,"429,452",0.3%,544,3.0%,"1,722,048",3.9%,
,,若洲内貿ふ頭,145,0.6%,"1,495,474",0.9%,-,-,-,-,145,0.8%,"1,495,474",3.4%,
,,15号地木材ふ頭,42,0.2%,"438,570",0.3%,15,0.3%,"429,452",0.3%,27,0.1%,"9,118",0.0%,
,,若洲建材ふ頭,372,1.6%,"217,456",0.1%,-,-,-,-,372,2.0%,"217,456",0.5%,
城南島,,,"1,826",7.7%,"1,117,639",0.6%,-,-,-,-,"1,826",10.0%,"1,117,639",2.5%,
,,大井建材ふ頭,"1,046",4.4%,"589,983",0.3%,-,-,-,-,"1,046",5.7%,"589,983",1.3%,
,,城南島建設発生土ふ頭,780,3.3%,"527,656",0.3%,-,-,-,-,780,4.3%,"527,656",1.2%,
中央防波堤,,,494,2.1%,"3,047,426",1.7%,17,0.3%,"295,531",0.2%,477,2.6%,"2,751,895",6.3%,
,,中央防波堤内側ばら物ふ頭,56,0.2%,"315,676",0.2%,17,0.3%,"295,531",0.2%,39,0.2%,"20,145",0.0%,
,,中央防波堤内側建設発生土ふ頭,147,0.6%,"170,410",0.1%,-,-,-,-,147,0.8%,"170,410",0.4%,
,,中央防波堤内側内貿ふ頭,291,1.2%,"2,561,340",1.5%,-,-,-,-,291,1.6%,"2,561,340",5.8%,
その他,,,79,0.3%,"67,185",0.0%,-,-,-,-,79,0.4%,"67,185",0.2%,
民間,,,"7,345",31.1%,"9,965,222",5.7%,220,4.1%,"2,118,296",1.6%,"7,125",39.0%,"7,846,926",17.8%,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
