,,,,,,,(単位：隻、総トン、時間),
,,係留施設別,利用船舶,,,うち荷役船,,
,,,隻 数,総トン数,延時間,隻 数,総トン数,
合計,,,"26,255","177,799,810","371,492","20,318","167,527,749",
ドルフィン,,,40,"26,007",245,40,"26,007",
芝浦,,,"1,784","2,103,803","40,844",858,"1,887,815",
,,芝浦ふ頭,570,"1,762,586","13,426",558,"1,749,608",
,,芝浦物揚場,"1,214","341,217","27,418",300,"138,207",
日の出,,,103,"67,346","1,874",72,"21,736",
,,日の出ふ頭,103,"67,346","1,874",72,"21,736",
竹芝,,,"2,927","5,642,247","5,009",530,"3,376,963",
,,竹芝ふ頭,"2,927","5,642,247","5,009",530,"3,376,963",
品川,,,"1,714","18,156,725","13,774","1,668","18,105,297",
,品川岸壁,,"1,714","18,156,725","13,774","1,668","18,105,297",
,,品川コンテナ,940,"8,572,325","8,421",894,"8,520,897",
,,品川外貿,23,"251,860",175,23,"251,860",
,,品川内貿,751,"9,332,540","5,178",751,"9,332,540",
晴海,,,143,"1,694,014","25,000",4,"72,124",
,,晴海ふ頭,126,"1,650,495","14,447",1,"60,154",
,,官公庁（晴海）,17,"43,519","10,553",3,"11,970",
月島,,,156,"73,297","20,242",88,"20,932",
,,月島ふ頭,66,"18,154","4,969",28,"9,042",
,,漁業基地,30,"43,253","9,152",-,-,
,,官公庁（月島）,60,"11,890","6,121",60,"11,890",
10号地その2,,,"1,591","12,279,777","26,349","1,224","7,825,225",
,,10号西岸壁,780,"7,637,395","13,103",779,"7,637,201",
,,10号東岸壁,459,"194,510","9,193",445,"188,024",
,,東京港フェリーふ頭,352,"4,447,872","4,053",-,-,
10号地その1,,,26,"55,988","4,715",3,"5,187",
,,多目的ふ頭,26,"55,988","4,715",3,"5,187",
辰巳,,,"1,064","377,782","41,115",858,"282,572",
,,辰巳ふ頭,"1,064","377,782","41,115",858,"282,572",
13号地その2,,,"2,623","42,746,358","39,677","2,403","42,467,633",
,,青海コンテナふ頭（公共）,"1,429","15,639,971","13,899","1,330","15,529,289",
,,青海コンテナふ頭(埠頭㈱),929,"24,582,234","9,152",826,"24,466,020",
,,お台場ライナーふ頭,265,"2,524,153","16,626",247,"2,472,324",
13号地その1,,,79,"91,870","22,896",-,-,
,,有明ふ頭,65,"56,298","18,462",-,-,
,,官公庁（有明）,14,"35,572","4,434",-,-,
大井,,,"3,469","77,890,529","39,591","3,171","77,645,205",
,,大井コンテナふ頭,"3,167","75,855,275","34,545","3,006","75,674,515",
,,大井水産物ふ頭,7,"16,804",766,7,"16,804",
,,大井食品ふ頭（OL）,183,"1,035,890","2,285",51,"1,010,228",
,,大井食品ふ頭（OM）,103,"900,088","1,183",103,"900,088",
,,大井食品ふ頭（ON）,9,"82,472",812,4,"43,570",
若洲,,,597,"2,163,168","4,854",516,"2,134,006",
,,若洲内貿ふ頭,145,"1,495,474","1,167",145,"1,495,474",
,,15号地木材ふ頭,56,"440,665","1,226",16,"429,646",
,,若洲建材ふ頭,396,"227,029","2,461",355,"208,886",
城南島,,,"1,946","1,187,947","32,036","1,638","978,027",
,,大井建材ふ頭,"1,163","658,803","6,732","1,141","646,410",
,,城南島建設発生土ふ頭,783,"529,144","25,304",497,"331,617",
中央防波堤,,,506,"3,091,803","5,370",448,"3,016,944",
,,中央防波堤内側ばら物ふ頭,61,"335,383","1,275",60,"334,635",
,,中央防波堤内側建設発生土ふ頭,150,"172,657",660,95,"99,846",
,,中央防波堤内側内貿ふ頭,293,"2,582,463","3,417",293,"2,582,463",
その他,,,83,"70,065",855,78,"61,242",
民間,,,"7,406","10,082,384","47,064","6,719","9,600,834",
,,,,,,,,
* 荷役船は、客船、カーフェリー、軍艦、パトロール船、曳舟・押船、訓練船、作業船、その他船舶を除く船,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
