"年度","登録団体数","利用件数[件]","利用者数[人]","図書貸出冊数[冊]","スライド・ビデオ貸出件数[件]"
"2013","397","3047","42218","9","11"
"2014","396","3020","42526","13","3"
"2015","272","3140","39881","34","1"
"2016","305","3015","37123","30","32"
"2017","338","2913","37799","134","17"

"平成30年度港区行政資料集　施設利用状況一覧 商工会館","Ver201803",,,,
