NO.,顕彰事業所名,事業概要,本店等所在地,創業年,緯度,経度
1,浅草めうがや,足袋、祭用品販売,東京都台東区浅草２－２７－１２,1867年,35.716454,139.795578
2,池田屋神仏具店,仏壇・位牌・仏具・神具販売,東京都台東区東上野３－３６－６,1843年,35.711605,139.780151
3,石井三太夫表具店,表具の修復・新規作成,東京都台東区東上野５－４－５,1652年,35.712029,139.782181
4,石六,石材工事全般に関する設計・施工,東京都台東区谷中５－４－１,1830年,35.723728,139.767792
5,上野池之端　鰻割烹　伊豆栄,鰻割烹、日本料理,東京都台東区上野２－１２－２２,1720年,35.709732,139.772751
6,上野?月堂,菓子製造販売、レストラン経営,東京都台東区上野１－２０－１０,1747年,35.707867,139.772858
7,鵜原商店　　　　　　,葬儀業,東京都台東区蔵前４－１８－７,1865年,35.704395,139.788116
8,江戸蕎麦手打處あさだ,日本そば、日本料理店,東京都台東区浅草橋２－２９－１１,1854年,35.699726,139.787613
9,大嶋屋恩田,江戸手描提灯販売等,東京都台東区駒形２－６－６,1854年,35.70739,139.795364
10,岡田屋布施,太鼓・神輿の製造・修理・販売、仏壇・仏具販売,東京都台東区雷門１－１６－５,1835年,35.711121,139.792084
11,雷門三定　　　　　　,天ぷら店,東京都台東区浅草１－２－２,1837年,35.710972,139.796707
12,甘味処　西山,和菓子製造販売・喫茶,東京都台東区雷門２－１９－１０,1852年,35.710674,139.797134
13,木具定商店　　　　　,木製容器等製造,東京都台東区西浅草３－４－１２,1830年,35.714405,139.791153
14,菊寿堂いせ辰,木版手摺千代紙・おもちゃ絵等製造販売,東京都台東区谷中２－１８－９,1864年,35.724354,139.764908
15,木村家本店,人形焼製造販売,東京都台東区浅草２－３－１,1868年,35.712856,139.796585
16,久月　　　　　　　　,節句人形を中心とした人形専門商社,東京都台東区柳橋１－２０－４,1835年,35.697578,139.786636
17,銀花堂,和小物、和雑貨販売（かんざし・扇子等）,東京都台東区浅草１－３０－１,1716年～1735年,35.711849,139.796448
18,クマイ商店　　　　　,畳製造販売、内装仕上げ、建築工事,東京都台東区上野桜木２－１３－３,1680年,35.721992,139.770538
19,駒形どぜう　　　　　,どじょう料理、くじら料理,東京都台東区駒形１－７－１２,1801年,35.707573,139.795135
20,更?,江戸型染,東京都台東区橋場１－３４－２,1867年,35.72562,139.806625
21,三佛堂櫻井商店,仏具、位牌、仏壇、神具等製造販売,東京都台東区寿２－７－１１,1861年,35.710125,139.788498
22,十三や櫛店,つげ櫛製造販売,東京都台東区上野２－１２－２１,1736年,35.709724,139.772583
23,新門,鳶・土工・内外装請負工事,東京都台東区松が谷２－１１－６,1824年,35.713299,139.787994
24,鈴本演芸場　　　　　,落語を中心とした寄席演芸の興業,東京都台東区上野２－７－１２,1857年,35.709156,139.773132
25,種亀,最中種(皮)製造販売,東京都台東区駒形１－７－７,1850年,35.708015,139.794861
26,東京松屋　　　　　　,襖紙・壁紙の版元和紙問屋,東京都台東区東上野６－１－３,1690年,35.711151,139.7845
27,常盤堂雷おこし本舗（雷門本店）,雷おこし・人形焼き等製造販売,東京都台東区浅草１－３－２,1795年,35.711071,139.796005
28,鮒佐　　　　　　　　,佃煮製造販売,東京都台東区浅草橋２－１－９鮒佐ビル,1862年,35.698879,139.787064
29,弁天山美家古壽司,江戸前寿司店,東京都台東区浅草２－１－１６,1866年,35.712975,139.79776
30,ホワイトローズ　　　,高級透明傘製造販売,東京都台東区寿２－８－１５,1721年,35.709412,139.789581
31,増田園総本店　　　　,茶小売業,東京都台東区浅草１－１－１７増田ビル,1867年,35.711048,139.797623
32,増田屋コーポレーション,"玩具・雑貨製造販売、輸出入、
玩具コンテンツビジネス、不動産管理",東京都台東区蔵前２－６－４,1724年,35.703598,139.791565
33,町田絲店　　　　　　,繊維製品(糸紐リボン等)の製造販売,東京都台東区駒形１－１－１,1864年,35.70541,139.793106
34,松坂屋上野店,百貨店,東京都台東区上野３－２９－５,1611年,35.707516,139.773193
35,美家古鮨本店　　　　,江戸前寿司店,東京都台東区柳橋１－１０－１２　　　,1808年,35.696499,139.787888
36,宮本卯之助商店　　　,神輿・和太鼓当祭礼用品の製造販売,東京都台東区浅草６－１－１５,1861年,35.715847,139.801682
37,守田治兵衛商店,医薬品等販売,東京都台東区上野２－１２－１１,1680年,35.709206,139.771606
38,山崎屋源七提灯店,江戸手描提灯製造販売,東京都台東区雷門２－９－９,1719年,35.709751,139.795242
39,有職組紐道明,組紐製造販売、組紐教室運営,東京都台東区上野２－１１－１,1652年,35.709148,139.771317
40,吉?　　　　　　　　,雛人形・ぬいぐるみの製造販売,東京都台東区浅草橋１－９－１４,1711年,35.696754,139.785706
41,龍昇亭西むら,和菓子製造販売,東京都台東区雷門２－１８－１１,1854年,35.710712,139.796738
42,浅草花やしき,遊園地「浅草花やしき」の企画運営等,東京都台東区浅草２－２８－１,1853年,35.715191,139.794983
43,江戸趣味小玩具 仲見世 助六,江戸趣味小玩具の製造販売,東京都台東区浅草２－３－１,1866年,35.712856,139.796585
44,小泉桶甚本店,葬祭サービス業,東京都台東区下谷１－１－５,1688～1704年,35.717644,139.781265
45,どぜう飯田屋,どじょう料理,東京都台東区西浅草３－３－２,1867年,35.714008,139.791565
46,南部屋五郎右衛門,太皷・神輿の製造販売及び修理、祭礼用品・神具の販売,東京都台東区元浅草２－１０－１０,1689年,35.710915,139.784042
47,うなぎ 色川,鰻料理専門店,東京都台東区雷門２－６－１１,1861年,35.70924,139.795181
