"年度[西暦]","芝 三田[人]","芝 神明[人]","芝 虎ノ門（とらトピア）[人]","芝 小計[人]","麻布 南麻布[人]","麻布 ありす[人]","麻布 麻布[人]","麻布 西麻布[人]","麻布 飯倉[人]","麻布 小計[人]","赤坂 赤坂[人]","赤坂 青山[人]","赤坂 青南[人]","赤坂 小計[人]","高輪 豊岡[人]","高輪 高輪[人]","高輪 白金[人]","高輪 白金台[人]","高輪 小計[人]","芝浦港南 港南（ゆとりーむ）[人]","計[人]"
"2018","84845","157659","101549","344053","52655","132069","17689","61628","30461","294502","22369","70566","23805","116740","29967","51294","42146","85262","208669","111534","1075498"
"2019","84793","148409","96176","329378","44931","135820","16224","60501","29512","286988","21358","68378","22340","112076","30208","47339","40096","84745","202388","105632","1036462"
"2020","30539","51147","31624","113310","18061","55213","7611","36488","16816","134189","10691","39815","14843","65349","15876","23146","23922","37327","100271","55188","468307"
"2021","43613","78590","44444","166647","23770","77870","9497","41633","23050","175820","14003","51741","17772","83516","17079","30043","32045","52338","131505","76826","634314"
"2022","58082","97367","54152","209601","25773","92277","10340","50566","27212","206168","16931","57582","19591","94104","22108","34793","34852","58931","150684","85431","745988"

"令和5年度港区行政資料集　施設利用状況一覧 いきいきプラザ","Ver202303",,,,,,,,,,,,,,,,,,,,
