年度,区分レベル１,区分レベル２,金額
2022,01_行政サービス活動（収入）,税収等,"62,585"
2022,01_行政サービス活動（収入）,その他,"15,886"
2022,02_行政サービス活動（支出）,税連動経費,"16,339"
2022,02_行政サービス活動（支出）,行政支出,"52,611"
2022,02_行政サービス活動（支出）,その他,471
2021,01_行政サービス活動（収入）,税収等,"59,530"
2021,01_行政サービス活動（収入）,その他,"28,385"
2021,02_行政サービス活動（支出）,税連動経費,"15,495"
2021,02_行政サービス活動（支出）,行政支出,"67,699"
2021,02_行政サービス活動（支出）,その他,513
2020,01_行政サービス活動（収入）,税収等,"53,493"
2020,01_行政サービス活動（収入）,その他,"15,099"
2020,02_行政サービス活動（支出）,税連動経費,"13,893"
2020,02_行政サービス活動（支出）,行政支出,"52,389"
2020,02_行政サービス活動（支出）,その他,561
2019,01_行政サービス活動（収入）,税収等,"60,219"
2019,01_行政サービス活動（収入）,その他,"6,440"
2019,02_行政サービス活動（支出）,税連動経費,"14,360"
2019,02_行政サービス活動（支出）,行政支出,"42,217"
2019,02_行政サービス活動（支出）,その他,612
2018,01_行政サービス活動（収入）,税収等,"57,453"
2018,01_行政サービス活動（収入）,その他,"6,194"
2018,02_行政サービス活動（支出）,税連動経費,"14,218"
2018,02_行政サービス活動（支出）,行政支出,"39,644"
2018,02_行政サービス活動（支出）,その他,668
2017,01_行政サービス活動（収入）,税収等,"55,396"
2017,01_行政サービス活動（収入）,その他,"6,519"
2017,02_行政サービス活動（支出）,税連動経費,"13,850"
2017,02_行政サービス活動（支出）,行政支出,"38,937"
2017,02_行政サービス活動（支出）,その他,712
2016,01_行政サービス活動（収入）,税収等,"55,585"
2016,01_行政サービス活動（収入）,その他,"6,262"
2016,02_行政サービス活動（支出）,税連動経費,"13,676"
2016,02_行政サービス活動（支出）,行政支出,"38,419"
2016,02_行政サービス活動（支出）,その他,813
