年度,資産の部（億円）,負債の部（億円）,正味財産の部（億円）
2016,"340,414","71,200","269,213"
2017,"346,224","69,342","276,882"
2018,"345,626","67,367","278,259"
2019,"351,882","65,108","286,774"
2020,"354,360","66,782","287,578"
2021,"355,388","65,823","289,565"
2022,"363,033","65,187","297,845"
