年度,収支差額合計（億円）,前年度からの繰越金（億円）,形式収支（億円）
2016,"1,270","2,515","3,786"
2017,982,"3,786","4,768"
2018,128,"4,768","4,897"
2019,419,"4,897","5,317"
2020,-866,"5,317","4,451"
2021,"1,044","4,451","5,495"
2022,172,"5,495","5,667"
