年度,区分レベル１,区分レベル２,区分レベル３,区分レベル４,区分レベル５,金額
2022,01_資産の部,01_流動資産,01_現金預金,01_現金預金,01_現金預金,"5,908"
2022,01_資産の部,01_流動資産,02_収入未済,02_収入未済,02_収入未済,716
2022,01_資産の部,01_流動資産,03_不納欠損引当金,03_不納欠損引当金,03_不納欠損引当金,-38
2022,01_資産の部,01_流動資産,04_基金積立金(流動資産）,04_財政調整基金（流動資産）,04_財政調整基金（流動資産）,"6,497"
2022,01_資産の部,01_流動資産,04_基金積立金(流動資産）,05_減債基金（流動資産）,05_減債基金（流動資産）,"3,334"
2022,01_資産の部,01_流動資産,05_短期貸付金,06_短期貸付金,06_短期貸付金,"2,313"
2022,01_資産の部,01_流動資産,06_貸倒引当金,07_貸倒引当金,07_貸倒引当金,-7
2022,01_資産の部,01_流動資産,07_その他流動資産,08_その他流動資産,08_その他流動資産,0
2022,01_資産の部,01_流動資産,08_端数調整,09_端数調整,09_端数調整,3
2022,01_資産の部,02_固定資産,09_行政財産,10_有形固定資産(行政財産）,10_建物(行政財産）,"23,650"
2022,01_資産の部,02_固定資産,09_行政財産,10_有形固定資産(行政財産）,11_工作物（行政財産）,"2,867"
2022,01_資産の部,02_固定資産,09_行政財産,10_有形固定資産(行政財産）,12_立木（行政財産）,7
2022,01_資産の部,02_固定資産,09_行政財産,10_有形固定資産(行政財産）,13_船舶等（行政財産）,0
2022,01_資産の部,02_固定資産,09_行政財産,10_有形固定資産(行政財産）,14_船舶（行政財産）,44
2022,01_資産の部,02_固定資産,09_行政財産,10_有形固定資産(行政財産）,15_航空機（行政財産）,35
2022,01_資産の部,02_固定資産,09_行政財産,10_有形固定資産(行政財産）,16_浮標等（行政財産）,27
2022,01_資産の部,02_固定資産,09_行政財産,10_有形固定資産(行政財産）,17_土地（行政財産）,"54,321"
2022,01_資産の部,02_固定資産,09_行政財産,11_無形固定資産（行政財産）,18_地上権（行政財産）,54
2022,01_資産の部,02_固定資産,09_行政財産,11_無形固定資産（行政財産）,19_その他無形固定資産（行政財産）,0
2022,01_資産の部,02_固定資産,10_普通財産,12_有形固定資産（普通財産）,20_建物（普通財産）,"3,130"
2022,01_資産の部,02_固定資産,10_普通財産,12_有形固定資産（普通財産）,21_工作物（普通財産）,419
2022,01_資産の部,02_固定資産,10_普通財産,12_有形固定資産（普通財産）,22_立木（普通財産）,0
2022,01_資産の部,02_固定資産,10_普通財産,12_有形固定資産（普通財産）,23_船舶等（普通財産）,0
2022,01_資産の部,02_固定資産,10_普通財産,12_有形固定資産（普通財産）,24_船舶（普通財産）,0
2022,01_資産の部,02_固定資産,10_普通財産,12_有形固定資産（普通財産）,25_航空機（普通財産）,0
2022,01_資産の部,02_固定資産,10_普通財産,12_有形固定資産（普通財産）,26_浮標等（普通財産）,0
2022,01_資産の部,02_固定資産,10_普通財産,12_有形固定資産（普通財産）,27_土地（普通財産）,"10,874"
2022,01_資産の部,02_固定資産,10_普通財産,13_無形固定資産（普通財産）,28_地上権（普通財産）,3
2022,01_資産の部,02_固定資産,10_普通財産,13_無形固定資産（普通財産）,29_その他無形固定資産（普通財産）,122
2022,01_資産の部,02_固定資産,11_重要物品,14_重要物品,30_重要物品,759
2022,01_資産の部,02_固定資産,12_インフラ資産,15_有形固定資産（インフラ）,31_土地以外（インフラ）,0
2022,01_資産の部,02_固定資産,12_インフラ資産,15_有形固定資産（インフラ）,32_建物（インフラ）,478
2022,01_資産の部,02_固定資産,12_インフラ資産,15_有形固定資産（インフラ）,33_工作物（インフラ）,"20,221"
2022,01_資産の部,02_固定資産,12_インフラ資産,15_有形固定資産（インフラ）,34_浮標等（インフラ）,5
2022,01_資産の部,02_固定資産,12_インフラ資産,15_有形固定資産（インフラ）,35_土地（インフラ）,"129,680"
2022,01_資産の部,02_固定資産,12_インフラ資産,16_無形固定資産（インフラ）,36_地上権（インフラ）,148
2022,01_資産の部,02_固定資産,12_インフラ資産,16_無形固定資産（インフラ）,37_その他無形固定資産（インフラ）,0
2022,01_資産の部,02_固定資産,13_ソフトウェア,17_ソフトウェア,38_ソフトウェア,60
2022,01_資産の部,02_固定資産,14_リース資産,18_リース資産,39_リース資産,10
2022,01_資産の部,02_固定資産,15_建設仮勘定,19_建設仮勘定,40_建設仮勘定,"14,287"
2022,01_資産の部,02_固定資産,16_ソフトウェア仮勘定,20_ソフトウェア仮勘定,41_ソフトウェア仮勘定,84
2022,01_資産の部,02_固定資産,17_投資その他の資産,21_有価証券及出資金,42_有価証券及出資金,0
2022,01_資産の部,02_固定資産,17_投資その他の資産,22_有価証券,43_有価証券,"2,389"
2022,01_資産の部,02_固定資産,17_投資その他の資産,23_出資金及出捐金,44_出資金及出捐金,"11,406"
2022,01_資産の部,02_固定資産,17_投資その他の資産,24_投資損失引当金,45_投資損失引当金,-136
