年度,区分レベル１,区分レベル２,区分レベル３,金額
2022,01_行政サービス活動（収入）,01_税収等,01_地方税,"61,868"
2022,01_行政サービス活動（収入）,01_税収等,02_地方譲与税,637
2022,01_行政サービス活動（収入）,01_税収等,03_地方特例交付金,77
2022,01_行政サービス活動（収入）,01_税収等,04_国有提供施設等所在市町村助成交付金,0
2022,01_行政サービス活動（収入）,01_税収等,05_税諸収入,0
2022,01_行政サービス活動（収入）,02_国庫支出金等,06_国庫支出金,"11,879"
2022,01_行政サービス活動（収入）,02_国庫支出金等,07_交通安全対策特別交付金,27
2022,01_行政サービス活動（収入）,03_業務収入その他,08_事業収入（特別会計）,6
2022,01_行政サービス活動（収入）,03_業務収入その他,09_分担金及負担金,165
2022,01_行政サービス活動（収入）,03_業務収入その他,10_使用料及手数料,"1,435"
2022,01_行政サービス活動（収入）,03_業務収入その他,11_財産収入,182
2022,01_行政サービス活動（収入）,03_業務収入その他,12_諸収入（受託事業収入）,550
2022,01_行政サービス活動（収入）,03_業務収入その他,13_諸収入,"1,486"
2022,01_行政サービス活動（収入）,03_業務収入その他,14_寄附金,1
2022,01_行政サービス活動（収入）,03_業務収入その他,15_繰入金,25
2022,01_行政サービス活動（収入）,04_金融収入,16_受取利息及配当金,125
2022,02_行政サービス活動（支出）,05_税連動経費,17_税連動経費,"16,339"
2022,02_行政サービス活動（支出）,06_行政支出,18_給与関係費,"15,940"
2022,02_行政サービス活動（支出）,06_行政支出,19_物件費,"6,237"
2022,02_行政サービス活動（支出）,06_行政支出,20_維持補修費,"1,078"
2022,02_行政サービス活動（支出）,06_行政支出,21_扶助費,"1,848"
2022,02_行政サービス活動（支出）,06_行政支出,22_補助費等,"20,616"
2022,02_行政サービス活動（支出）,06_行政支出,23_投資的経費補助,848
2022,02_行政サービス活動（支出）,06_行政支出,24_投資的経費単独,"3,253"
2022,02_行政サービス活動（支出）,06_行政支出,25_投資的経費国直轄,299
