年度,区分レベル１,区分レベル２,金額
2022,05_財務活動（収入）,都債,"2,398"
2022,05_財務活動（収入）,その他,22
2022,06_財務活動（支出）,公債費（元金）,"3,457"
2022,06_財務活動（支出）,その他,20
2021,05_財務活動（収入）,都債,"2,484"
2021,05_財務活動（収入）,その他,20
2021,06_財務活動（支出）,公債費（元金）,"3,179"
2021,06_財務活動（支出）,その他,23
2020,05_財務活動（収入）,都債,"4,916"
2020,05_財務活動（収入）,その他,18
2020,06_財務活動（支出）,公債費（元金）,"3,343"
2020,06_財務活動（支出）,その他,24
2019,05_財務活動（収入）,都債,"1,385"
2019,05_財務活動（収入）,その他,18
2019,06_財務活動（支出）,公債費（元金）,"3,462"
2019,06_財務活動（支出）,その他,22
2018,05_財務活動（収入）,都債,"1,427"
2018,05_財務活動（収入）,その他,8
2018,06_財務活動（支出）,公債費（元金）,"4,083"
2018,06_財務活動（支出）,その他,17
2017,05_財務活動（収入）,都債,"1,368"
2017,05_財務活動（収入）,その他,8
2017,06_財務活動（支出）,公債費（元金）,"4,864"
2017,06_財務活動（支出）,その他,37
2016,05_財務活動（収入）,都債,"1,526"
2016,05_財務活動（収入）,その他,25
2016,06_財務活動（支出）,公債費（元金）,"3,977"
2016,06_財務活動（支出）,その他,21
