年度,区分レベル１,区分レベル２,区分レベル３,区分レベル４,金額
2022,01_通常収支の部,01_行政収支の部,01_行政収入,01_地方税,"61,849"
2022,01_通常収支の部,01_行政収支の部,01_行政収入,02_地方譲与税,637
2022,01_通常収支の部,01_行政収支の部,01_行政収入,03_地方特例交付金,77
2022,01_通常収支の部,01_行政収支の部,01_行政収入,04_国有提供施設等所在市町村助成交付金,0
2022,01_通常収支の部,01_行政収支の部,01_行政収入,05_税諸収入,0
2022,01_通常収支の部,01_行政収支の部,01_行政収入,06_国庫支出金,"11,878"
2022,01_通常収支の部,01_行政収支の部,01_行政収入,07_交通安全対策特別交付金,27
2022,01_通常収支の部,01_行政収支の部,01_行政収入,08_事業収入（特別会計）,6
2022,01_通常収支の部,01_行政収支の部,01_行政収入,09_分担金及負担金,165
2022,01_通常収支の部,01_行政収支の部,01_行政収入,10_使用料及手数料,"1,436"
2022,01_通常収支の部,01_行政収支の部,01_行政収入,11_財産収入,182
2022,01_通常収支の部,01_行政収支の部,01_行政収入,12_諸収入（受託事業収入）,550
2022,01_通常収支の部,01_行政収支の部,01_行政収入,13_諸収入,"1,513"
2022,01_通常収支の部,01_行政収支の部,01_行政収入,14_寄附金,1
2022,01_通常収支の部,01_行政収支の部,01_行政収入,15_繰入金,25
2022,01_通常収支の部,01_行政収支の部,01_行政収入,16_その他行政収入,53
2022,01_通常収支の部,01_行政収支の部,01_行政収入,17_端数調整,9
2022,01_通常収支の部,01_行政収支の部,02_行政費用,18_税連動経費,"16,339"
2022,01_通常収支の部,01_行政収支の部,02_行政費用,19_給与関係費,"13,887"
2022,01_通常収支の部,01_行政収支の部,02_行政費用,20_物件費,"6,236"
2022,01_通常収支の部,01_行政収支の部,02_行政費用,21_維持補修費,"1,078"
2022,01_通常収支の部,01_行政収支の部,02_行政費用,22_扶助費,"1,848"
2022,01_通常収支の部,01_行政収支の部,02_行政費用,23_補助費等,"20,613"
2022,01_通常収支の部,01_行政収支の部,02_行政費用,24_投資的経費補助,848
2022,01_通常収支の部,01_行政収支の部,02_行政費用,25_投資的経費単独,"3,253"
2022,01_通常収支の部,01_行政収支の部,02_行政費用,26_投資的経費国直轄,299
2022,01_通常収支の部,01_行政収支の部,02_行政費用,27_出捐金（出捐金等）,0
2022,01_通常収支の部,01_行政収支の部,02_行政費用,28_出捐金,999
2022,01_通常収支の部,01_行政収支の部,02_行政費用,29_繰出金,"2,486"
2022,01_通常収支の部,01_行政収支の部,02_行政費用,30_減価償却費,"2,204"
2022,01_通常収支の部,01_行政収支の部,02_行政費用,31_債務保証費,0
2022,01_通常収支の部,01_行政収支の部,02_行政費用,32_不納欠損引当金繰入額,34
2022,01_通常収支の部,01_行政収支の部,02_行政費用,33_貸倒引当金繰入額,1
2022,01_通常収支の部,01_行政収支の部,02_行政費用,34_賞与引当金繰入額,"1,152"
2022,01_通常収支の部,01_行政収支の部,02_行政費用,35_退職給与引当金繰入額,948
2022,01_通常収支の部,01_行政収支の部,02_行政費用,36_その他引当金繰入額,0
2022,01_通常収支の部,01_行政収支の部,02_行政費用,37_その他行政費用,11
2022,01_通常収支の部,01_行政収支の部,02_行政費用,38_端数調整,10
2022,01_通常収支の部,02_金融収支の部,03_金融収入,39_受取利息及配当金,125
2022,01_通常収支の部,02_金融収支の部,04_金融費用,40_公債費（利子）,435
2022,01_通常収支の部,02_金融収支の部,04_金融費用,41_都債発行費,16
