年度,収入（億円）,支出（億円）,,,,,
2016,"62,339","54,918",,,,,
2017,"64,071","57,195",,,,,
2018,"64,465","63,463",,,,,
2019,"68,466","61,266",,,,,
2020,"70,089","70,061",,,,,
2021,"87,788","86,738",,,,,
2022,"79,028","73,838",,,,,
