年度,区分レベル１,区分レベル２,金額
2022,03_社会資本整備等投資活動（収入）,基金繰入金,"7,753"
2022,03_社会資本整備等投資活動（収入）,その他,"3,496"
2022,04_社会資本整備等投資活動（支出）,社会資本整備支出,"3,030"
2022,04_社会資本整備等投資活動（支出）,基金積立金,"9,517"
2022,04_社会資本整備等投資活動（支出）,その他,"6,521"
2021,03_社会資本整備等投資活動（収入）,基金繰入金,"2,823"
2021,03_社会資本整備等投資活動（収入）,その他,"3,694"
2021,04_社会資本整備等投資活動（支出）,社会資本整備支出,"3,007"
2021,04_社会資本整備等投資活動（支出）,基金積立金,"2,297"
2021,04_社会資本整備等投資活動（支出）,その他,"3,677"
2020,03_社会資本整備等投資活動（収入）,基金繰入金,"6,778"
2020,03_社会資本整備等投資活動（収入）,その他,"4,924"
2020,04_社会資本整備等投資活動（支出）,社会資本整備支出,"3,532"
2020,04_社会資本整備等投資活動（支出）,基金積立金,"3,149"
2020,04_社会資本整備等投資活動（支出）,その他,"9,200"
2019,03_社会資本整備等投資活動（収入）,基金繰入金,"4,417"
2019,03_社会資本整備等投資活動（収入）,その他,"3,750"
2019,04_社会資本整備等投資活動（支出）,社会資本整備支出,"5,547"
2019,04_社会資本整備等投資活動（支出）,基金積立金,"5,710"
2019,04_社会資本整備等投資活動（支出）,その他,"3,877"
2018,03_社会資本整備等投資活動（収入）,基金繰入金,"4,183"
2018,03_社会資本整備等投資活動（収入）,その他,"4,651"
2018,04_社会資本整備等投資活動（支出）,社会資本整備支出,"9,572"
2018,04_社会資本整備等投資活動（支出）,基金積立金,"1,915"
2018,04_社会資本整備等投資活動（支出）,その他,"3,669"
2017,03_社会資本整備等投資活動（収入）,基金繰入金,"1,152"
2017,03_社会資本整備等投資活動（収入）,その他,"4,812"
2017,04_社会資本整備等投資活動（支出）,社会資本整備支出,"3,441"
2017,04_社会資本整備等投資活動（支出）,基金積立金,"2,956"
2017,04_社会資本整備等投資活動（支出）,その他,"3,474"
2016,03_社会資本整備等投資活動（収入）,基金繰入金,571
2016,03_社会資本整備等投資活動（収入）,その他,"4,737"
2016,04_社会資本整備等投資活動（支出）,社会資本整備支出,"3,813"
2016,04_社会資本整備等投資活動（支出）,基金積立金,"3,703"
2016,04_社会資本整備等投資活動（支出）,その他,"3,013"
