年度,行政サービス活動収支差額（億円）,社会資本整備等投資活動収支差額（億円）,財務活動収支差額（億円）
2016,"8,939","-5,221","-2,447"
2017,"8,416","-3,907","-3,527"
2018,"9,117","-6,322","-2,666"
2019,"9,469","-6,968","-2,081"
2020,"1,748","-4,180","1,566"
2021,"4,206","-2,464",-698
2022,"9,049","-7,818","-1,059"
