地域合計,平成23年,平成24年,平成25年,平成26年,平成27年,平成23～27年の平均
東京都（人/10万人）,22.1,19.5,19.7,18.3,17,19.3
特別区（人/10万人）,22.9,19.5,19.8,18.7,16.7,19.5
多摩地域（人/10万人）,20.3,19.3,19.4,17.3,17.4,18.8
島しょ（人/10万人）,39.7,40.1,33.4,18.8,45.5,35.5
