地域合計,平成25年度届出数,平成26年度届出数,平成27年度／届出数,平成27年度／人口万対件数
東京都,16076,16850,18350,14
特別区,8456,8757,9544,10
多摩地域,5287,5704,6175,15
島しょ,49,54,63,24
住所不定,45,50,57,-
都外から,2239,2285,2511,-
