区市町村名,平成25年度届出数,平成26年度届出数,平成27年度／届出数,平成27年度／人口万対件数
特別区／千代田区,36,43,64,11.6
特別区／中央区,73,75,82,5.7
特別区／港区,163,183,202,9.1
特別区／新宿区,339,352,393,11.6
特別区／文京区,164,175,176,8.1
特別区／台東区,126,125,143,7.7
特別区／墨田区,191,232,269,10.4
特別区／江東区,461,512,543,11.1
特別区／品川区,311,304,320,8.4
特別区／目黒区,237,274,270,9.7
特別区／大田区,492,510,551,7.7
特別区／世田谷区,997,978,"1,221",13.5
特別区／渋谷区,219,211,207,9.5
特別区／中野区,313,309,323,10
特別区／杉並区,578,542,621,11
特別区／豊島区,267,294,304,10.2
特別区／北区,297,274,265,7.8
特別区／荒川区,159,170,180,8.6
特別区／板橋区,677,674,687,12.5
特別区／練馬区,977,994,"1,080",14.9
特別区／足立区,659,715,788,11.4
特別区／葛飾区,300,316,337,7.6
特別区／江戸川区,420,495,518,7.6
島しょ／大島町,13,18,17,21.4
島しょ／利島村,-,1,-,-
島しょ／新島村,3,6,7,26.4
島しょ／神津島村,3,3,9,49.2
島しょ／三宅村,5,8,7,28.2
島しょ／御蔵島村,-,-,1,28.9
島しょ／八丈町,24,17,18,23.3
島しょ／青ヶ島村,-,-,1,52.1
島しょ／小笠原村,1,1,3,10.4
多摩地域／青梅市,179,176,223,16.4
多摩地域／福生市,90,88,111,19.1
多摩地域／羽村市,56,54,52,9.3
多摩地域／瑞穂町,42,33,44,13.3
多摩地域／奥多摩町,8,6,12,23
多摩地域／あきる野市,111,124,124,15.4
多摩地域／日の出町,23,27,29,16.9
多摩地域／檜原村,7,3,6,27.1
多摩地域／八王子市,866,974,"1,042",18
多摩地域／町田市,406,463,532,12.4
多摩地域／日野市,249,247,244,13.2
多摩地域／多摩市,167,191,244,16.5
多摩地域／稲城市,73,97,112,12.8
多摩地域／調布市,311,313,319,14
多摩地域／狛江市,64,100,103,12.7
多摩地域／府中市,305,324,332,12.7
多摩地域／小金井市,138,151,137,11.3
多摩地域／武蔵野市,179,186,196,13.6
多摩地域／三鷹市,212,241,279,14.8
多摩地域／立川市,211,215,231,12.8
多摩地域／昭島市,129,128,134,12
多摩地域／国立市,80,89,85,11.2
多摩地域／国分寺市,138,121,143,11.6
多摩地域／東大和市,99,106,111,13
多摩地域／武蔵村山市,68,83,107,15.2
多摩地域／小平市,279,317,338,17.7
多摩地域／西東京市,307,311,347,17.3
多摩地域／東村山市,237,258,254,16.8
多摩地域／清瀬市,115,121,117,15.7
多摩地域／東久留米市,138,157,167,14.3
