区市町村,平成25年度,平成26年度,平成27年度
特別区／千代田区（件）,414,487,487
特別区／中央区（件）,1067,1157,1189
特別区／港区（件）,1956,2052,2230
特別区／新宿区（件）,4074,4376,4142
特別区／文京区（件）,2247,2409,2512
特別区／台東区（件）,2728,2946,2968
特別区／墨田区（件）,3733,3922,3918
特別区／江東区（件）,5713,6396,6442
特別区／品川区（件）,4054,4315,3831
特別区／目黒区（件）,2479,2626,2668
特別区／大田区（件）,8636,8900,9431
特別区／世田谷区（件）,9628,9961,10612
特別区／渋谷区（件）,2254,2423,2514
特別区／中野区（件）,4253,4442,4285
特別区／杉並区（件）,6455,6581,6054
特別区／豊島区（件）,3509,3704,3599
特別区／北区（件）,5006,5407,5345
特別区／荒川区（件）,3002,3225,3397
特別区／板橋区（件）,8135,8799,8725
特別区／練馬区（件）,10331,10765,11217
特別区／足立区（件）,11017,11672,11713
特別区／葛飾区（件）,6323,6538,6739
特別区／江戸川区（件）,8815,9655,9756
島しょ／大島町（件）,87,98,93
島しょ／利島村（件）,7,9,7
島しょ／新島村（件）,24,31,27
島しょ／神津島村（件）,11,15,16
島しょ／三宅村（件）,33,32,48
島しょ／御蔵島村（件）,2,4,2
島しょ／八丈町（件）,106,105,104
島しょ／青ヶ島村（件）,1,1,1
島しょ／小笠原村（件）,14,15,16
多摩地域／青梅市（件）,1896,2072,2048
多摩地域／福生市（件）,863,962,916
多摩地域／羽村市（件）,734,788,854
多摩地域／瑞穂町（件）,497,537,510
多摩地域／奥多摩町（件）,60,67,69
多摩地域／あきる野市（件）,1054,1076,1093
多摩地域／日の出町（件）,227,259,269
多摩地域／檜原村（件）,31,30,29
多摩地域／八王子市（件）,7279,8193,8005
多摩地域／町田市（件）,6430,6788,7013
多摩地域／日野市（件）,2282,2334,2362
多摩地域／多摩市（件）,2185,2430,2339
多摩地域／稲城市（件）,1089,1084,1144
多摩地域／調布市（件）,2967,3260,3174
多摩地域／狛江市（件）,1088,1121,1139
多摩地域／府中市（件）,3462,3736,3837
多摩地域／小金井市（件）,1615,1692,1689
多摩地域／武蔵野市（件）,1838,2014,1996
多摩地域／三鷹市（件）,2528,2672,2686
多摩地域／立川市（件）,2832,3016,2988
多摩地域／昭島市（件）,1675,1657,1645
多摩地域／国立市（件）,1129,1179,1200
多摩地域／国分寺市（件）,1637,1797,1935
多摩地域／東大和市（件）,1293,1321,1421
多摩地域／武蔵村山市（件）,1053,1108,1090
多摩地域／小平市（件）,2771,2879,3145
多摩地域／西東京市（件）,2618,2789,2581
多摩地域／東村山市（件）,2848,2943,2936
多摩地域／清瀬市（件）,1609,1618,1507
多摩地域／東久留米市（件）,1858,2001,2007
