区市町村,平成25年度,平成26年度,平成27年度
特別区／千代田区（件）,1,2,1
特別区／中央区（件）,-,1,2
特別区／港区（件）,3,4,-
特別区／新宿区（件）,6,1,-
特別区／文京区（件）,2,2,4
特別区／台東区（件）,1,5,3
特別区／墨田区（件）,3,1,2
特別区／江東区（件）,4,6,5
特別区／品川区（件）,2,2,7
特別区／目黒区（件）,2,4,4
特別区／大田区（件）,6,3,8
特別区／世田谷区（件）,12,6,24
特別区／渋谷区（件）,4,6,5
特別区／中野区（件）,6,1,3
特別区／杉並区（件）,6,5,9
特別区／豊島区（件）,3,3,-
特別区／北区（件）,2,1,1
特別区／荒川区（件）,4,2,1
特別区／板橋区（件）,4,5,5
特別区／練馬区（件）,10,12,7
特別区／足立区（件）,5,6,5
特別区／葛飾区（件）,9,2,1
特別区／江戸川区（件）,4,2,5
多摩地域／青梅市（件）,1,1,2
多摩地域／福生市（件）,-,-,-
多摩地域／羽村市（件）,-,1,-
多摩地域／瑞穂町（件）,1,1,1
多摩地域／奥多摩町（件）,1,-,1
多摩地域／あきる野市（件）,6,1,4
多摩地域／日の出町（件）,-,1,1
多摩地域／檜原村（件）,-,-,-
多摩地域／八王子市（件）,20,21,17
多摩地域／町田市（件）,7,17,7
多摩地域／日野市（件）,7,13,6
多摩地域／多摩市（件）,1,2,2
多摩地域／稲城市（件）,9,3,3
多摩地域／調布市（件）,4,12,5
多摩地域／狛江市（件）,1,1,3
多摩地域／府中市（件）,11,4,4
多摩地域／小金井市（件）,3,1,-
多摩地域／武蔵野市（件）,2,4,6
多摩地域／三鷹市（件）,5,6,8
多摩地域／立川市（件）,2,4,6
多摩地域／昭島市（件）,1,4,2
多摩地域／国立市（件）,2,-,-
多摩地域／国分寺市（件）,4,3,7
多摩地域／東大和市（件）,3,3,-
多摩地域／武蔵村山市（件）,-,3,1
多摩地域／小平市（件）,5,10,7
多摩地域／西東京市（件）,3,5,5
多摩地域／東村山市（件）,3,7,1
多摩地域／清瀬市（件）,1,1,1
多摩地域／東久留米市（件）,2,-,2
